,precisions,recalls
nude painting (nu),0.6600985221674877,0.6175115207373272
marina,0.6152073732718893,0.7606837606837606
animal painting,0.5256410256410257,0.592057761732852
self-portrait,0.5571428571428572,0.14028776978417265
genre painting,0.662796098467255,0.5874845615479621
symbolic painting,0.4348894348894349,0.37579617834394907
abstract,0.7727272727272727,0.8570516911295469
figurative,0.43673469387755104,0.21747967479674796
landscape,0.7965260545905707,0.8159041394335512
portrait,0.768894076451707,0.8472668810289389
flower painting,0.7310344827586207,0.7737226277372263
design,0.6145833333333334,0.5728155339805825
religious painting,0.5919610231425091,0.7534883720930232
mythological painting,0.4766355140186916,0.2982456140350877
sketch and study,0.610981308411215,0.6425061425061425
still life,0.7110694183864915,0.7330754352030948
illustration,0.6380655226209049,0.577683615819209
cityscape,0.7427616926503341,0.7013669821240799
