,precisions,recalls
nude painting (nu),0.643979057591623,0.5668202764976958
marina,0.654639175257732,0.7236467236467237
animal painting,0.45671641791044776,0.5523465703971119
self-portrait,0.49056603773584906,0.09352517985611511
genre painting,0.6416666666666667,0.6340057636887608
symbolic painting,0.4691358024691358,0.3227176220806794
abstract,0.7531541415249589,0.8761965539246969
figurative,0.3838383838383838,0.23170731707317074
landscape,0.791394148020654,0.8347857661583151
portrait,0.7516930022573364,0.8565916398713826
flower painting,0.6062176165803109,0.8540145985401459
design,0.6335227272727273,0.5412621359223301
religious painting,0.7046548956661316,0.6806201550387597
mythological painting,0.4869109947643979,0.2719298245614035
sketch and study,0.6096551724137931,0.542997542997543
still life,0.7224409448818898,0.7098646034816247
illustration,0.637593984962406,0.5988700564971752
cityscape,0.7106652587117213,0.7076761303890642
