index_name,nude painting (nu),marina,animal painting,self-portrait,genre painting,symbolic painting,abstract,figurative,landscape,portrait,flower painting,design,religious painting,mythological painting,sketch and study,still life,illustration,cityscape
nude painting (nu),298,0,1,0,40,9,11,2,4,24,0,3,12,11,14,2,3,0
marina,0,254,0,0,13,5,4,0,60,0,0,1,0,0,2,0,1,11
animal painting,5,1,150,0,31,14,15,4,7,6,1,2,7,2,13,8,11,0
self-portrait,2,0,1,26,10,0,3,3,1,218,0,0,2,0,10,0,2,0
genre painting,48,17,19,1,1528,49,27,15,96,279,3,18,166,13,52,12,48,38
symbolic painting,11,6,7,0,59,214,27,17,23,28,0,13,33,6,5,8,6,8
abstract,4,10,2,1,13,29,1391,39,26,2,1,8,1,0,16,15,2,7
figurative,8,0,6,1,54,54,152,84,10,54,2,11,3,0,23,16,9,5
landscape,6,61,6,0,102,39,48,4,2302,2,10,3,5,1,29,10,11,115
portrait,19,0,1,21,185,23,18,14,1,2676,2,5,82,2,44,7,9,1
flower painting,0,0,2,0,3,4,16,0,9,1,208,1,0,0,1,28,1,0
design,3,0,0,0,28,11,24,6,10,23,1,229,9,1,18,3,34,12
religious painting,22,2,1,0,96,28,14,4,17,69,0,6,956,25,24,1,22,3
mythological painting,16,1,2,0,57,24,2,1,11,22,0,6,96,84,7,1,12,0
sketch and study,42,2,11,2,47,7,15,4,47,74,2,7,26,1,489,6,20,12
still life,2,1,3,0,20,18,22,6,4,11,27,1,2,0,5,391,2,2
illustration,3,0,5,0,100,26,13,5,10,26,0,16,41,1,31,1,421,9
cityscape,0,17,1,0,59,8,15,3,160,1,0,5,2,0,5,3,8,664
