,nude painting (nu),marina,animal painting,self-portrait,genre painting,symbolic painting,abstract,figurative,landscape,portrait,flower painting,design,religious painting,mythological painting,sketch and study,still life,illustration,cityscape
nude painting (nu),285,0,4,0,40,6,8,6,2,28,1,3,11,23,13,0,3,1
marina,0,235,1,0,11,7,4,0,74,0,0,0,0,0,1,0,0,18
animal painting,2,2,165,0,22,8,12,5,7,5,5,7,6,4,8,11,8,0
self-portrait,2,0,1,28,8,1,4,4,1,217,0,1,1,0,9,0,1,0
genre painting,54,15,41,1,1559,31,16,23,101,279,6,26,93,17,39,10,68,50
symbolic painting,12,2,18,0,56,194,22,22,24,30,3,19,22,14,3,9,11,10
abstract,8,7,8,1,10,24,1378,52,29,3,4,8,1,1,10,15,3,5
figurative,15,1,12,0,43,47,125,120,6,57,6,14,2,1,19,8,8,8
landscape,3,45,10,0,82,34,56,9,2303,4,21,3,1,3,19,6,11,144
portrait,29,0,2,21,172,19,19,18,1,2715,6,16,41,3,30,5,12,1
flower painting,0,0,4,0,3,3,17,1,10,0,210,3,0,0,0,22,1,0
design,5,0,1,0,15,6,18,9,12,17,4,254,6,3,12,2,30,18
religious painting,15,0,4,0,120,24,12,3,20,100,2,10,882,38,22,0,35,3
mythological painting,12,1,4,0,50,16,2,0,9,24,0,7,98,98,5,1,15,0
sketch and study,36,3,16,6,49,4,20,8,50,79,8,17,19,6,450,8,17,18
still life,5,0,6,0,16,15,23,21,6,15,33,7,1,1,3,363,0,2
illustration,5,0,7,0,87,12,9,8,6,26,0,32,34,6,31,1,432,12
cityscape,0,13,1,0,55,7,10,6,147,2,0,8,0,0,4,2,3,693
