,precisions,recalls
art deco,0.7411764705882353,0.5431034482758621
art nouveau (modern),0.5919811320754716,0.602641056422569
baroque,0.5408921933085502,0.6928571428571428
expressionism,0.4727474972191324,0.5821917808219178
contemporary realism,0.37962962962962965,0.24404761904761904
neo-expressionism,0.36666666666666664,0.2573099415204678
magic realism,0.8666666666666667,0.3155339805825243
cubism,0.6482213438735178,0.5734265734265734
northern renaissance,0.6040515653775322,0.7454545454545455
early renaissance,0.7426900584795322,0.5799086757990868
minimalism,0.7252747252747253,0.7058823529411765
symbolism,0.5162523900573613,0.4231974921630094
art informel,0.35294117647058826,0.22594142259414227
high renaissance,0.5310734463276836,0.41964285714285715
rococo,0.6145454545454545,0.38672768878718533
lyrical abstraction,0.4411764705882353,0.2542372881355932
fauvism,0.3333333333333333,0.18584070796460178
abstract expressionism,0.4861111111111111,0.5727272727272728
neoclassicism,0.7905405405405406,0.4775510204081633
pop art,0.5684210526315789,0.484304932735426
abstract art,0.5529411764705883,0.3533834586466165
post-impressionism,0.4724818276220145,0.420129270544783
romanticism,0.5376458112407211,0.6357366771159875
color field painting,0.6088560885608856,0.7819905213270142
impressionism,0.674577634754626,0.7269180754226268
realism,0.5385694249649369,0.5702970297029702
academicism,0.2765957446808511,0.07738095238095238
ukiyo-e,0.9179487179487179,0.8483412322274881
mannerism (late renaissance),0.47601476014760147,0.48863636363636365
naïve art (primitivism),0.5261194029850746,0.5814432989690722
surrealism,0.5753424657534246,0.5746268656716418
neo-romanticism,0.6538461538461539,0.3434343434343434
