index_name,nude painting (nu),marina,animal painting,self-portrait,genre painting,symbolic painting,abstract,figurative,landscape,portrait,flower painting,design,religious painting,mythological painting,sketch and study,still life,illustration,cityscape
nude painting (nu),321,0,4,2,15,8,6,11,5,6,0,5,5,14,23,4,4,1
marina,0,250,1,0,7,1,5,2,60,0,0,2,0,2,6,1,1,13
animal painting,7,2,171,0,14,8,13,8,7,3,2,4,6,6,14,11,1,0
self-portrait,3,0,1,137,15,1,1,2,1,96,0,2,1,0,15,1,1,1
genre painting,113,22,65,21,1292,39,27,60,107,214,4,37,108,30,115,35,79,61
symbolic painting,19,3,20,6,47,138,33,35,30,21,3,15,28,14,18,18,2,21
abstract,6,10,10,3,3,22,1301,87,27,2,10,12,5,5,27,17,5,15
figurative,22,0,9,8,31,26,124,155,11,24,4,14,6,1,23,15,8,11
landscape,7,78,22,1,86,36,50,13,2082,2,17,7,14,12,71,16,11,229
portrait,76,1,7,264,183,27,21,33,3,2233,6,17,73,4,130,19,13,0
flower painting,0,0,4,0,2,3,11,3,8,0,211,2,3,0,1,24,1,1
design,8,0,4,0,15,5,22,14,11,13,3,241,10,6,20,4,21,15
religious painting,27,2,4,3,106,17,12,11,23,73,2,5,840,68,59,7,26,5
mythological painting,36,1,4,0,42,15,1,1,11,19,0,6,67,107,14,2,14,2
sketch and study,37,5,18,7,27,2,15,12,29,35,5,17,11,19,539,3,20,13
still life,5,4,2,2,11,4,22,16,4,3,31,6,7,1,12,381,1,5
illustration,9,0,13,4,73,13,19,16,7,21,2,34,42,14,39,3,387,12
cityscape,1,19,0,0,36,4,12,4,134,1,0,10,2,1,13,3,7,704
