,precisions,recalls,f1
nude painting (nu),0.460545193687231,0.7396313364055299,0.5676392572944298
marina,0.6297229219143576,0.7122507122507122,0.6684491978609625
animal painting,0.4763231197771588,0.6173285198555957,0.5377358490566039
self-portrait,0.29912663755458513,0.49280575539568344,0.37228260869565216
genre painting,0.6443890274314215,0.5319061342116097,0.5827695083446098
symbolic painting,0.37398373983739835,0.2929936305732484,0.32857142857142857
abstract,0.7675516224188791,0.8302488832163369,0.7976701410177804
figurative,0.32091097308488614,0.3150406504065041,0.317948717948718
landscape,0.81328125,0.7559912854030502,0.7835905156191193
portrait,0.8073029645697759,0.7180064308681672,0.7600408441116406
flower painting,0.7033333333333334,0.7700729927007299,0.735191637630662
design,0.5527522935779816,0.5849514563106796,0.5683962264150944
religious painting,0.6840390879478827,0.6511627906976745,0.6671961874503574
mythological painting,0.3519736842105263,0.3128654970760234,0.33126934984520123
sketch and study,0.47322212467076386,0.6621621621621622,0.5519713261648745
still life,0.675531914893617,0.7369439071566731,0.7049028677150785
illustration,0.6428571428571429,0.5466101694915254,0.5908396946564886
cityscape,0.6348061316501352,0.7402733964248159,0.6834951456310678
