index_name,nude painting (nu),marina,animal painting,self-portrait,genre painting,symbolic painting,abstract,figurative,landscape,portrait,flower painting,design,religious painting,mythological painting,sketch and study,still life,illustration,cityscape
nude painting (nu),318,0,8,1,8,12,7,13,0,8,2,6,4,24,11,6,5,1
marina,0,310,1,0,1,4,2,0,17,0,1,2,0,0,1,1,1,10
animal painting,4,3,196,1,5,12,8,5,4,2,5,5,2,7,2,8,7,1
self-portrait,4,0,2,184,5,3,3,7,0,57,0,2,2,1,7,0,1,0
genre painting,101,52,107,44,1083,70,11,82,79,203,25,56,147,93,50,19,141,66
symbolic painting,17,10,34,8,18,224,14,42,7,10,8,25,14,11,4,3,12,10
abstract,5,11,41,0,1,24,1253,127,14,0,38,14,0,0,11,22,4,2
figurative,18,4,32,5,12,38,87,213,6,14,15,15,0,2,10,10,7,4
landscape,7,267,51,2,43,48,49,19,1816,0,60,26,16,16,32,16,30,256
portrait,47,0,13,673,155,42,15,58,1,1857,11,36,77,31,46,15,32,1
flower painting,1,0,5,0,0,2,5,3,1,0,242,2,1,0,0,10,1,1
design,1,0,7,0,4,11,11,22,9,5,8,268,4,2,13,2,32,13
religious painting,27,3,11,20,53,35,9,22,3,62,2,16,807,98,21,2,92,7
mythological painting,17,2,15,3,14,15,0,3,7,12,1,14,45,175,2,1,16,0
sketch and study,51,15,36,47,21,12,6,18,27,32,13,20,12,13,412,11,48,20
still life,3,0,13,2,5,15,12,26,1,1,56,8,1,1,2,368,2,1
illustration,10,1,21,4,30,17,7,24,2,11,2,42,20,13,16,2,476,10
cityscape,0,47,5,0,23,11,15,17,74,1,2,15,2,0,6,5,8,720
