index_name,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,93,2,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,5,0,3,0,0,0,0,0,0,0,5,1,1
art nouveau (modern),55,351,1,35,7,9,7,4,7,2,1,47,6,7,4,2,11,4,12,12,2,29,18,0,16,30,15,12,2,45,21,59
baroque,1,7,384,0,2,0,1,1,28,10,0,8,0,58,68,0,0,0,63,0,0,1,23,0,2,36,13,0,118,6,7,3
expressionism,31,37,1,478,35,119,24,52,3,3,1,43,25,3,2,34,106,18,4,18,11,111,9,1,47,56,6,0,6,83,63,30
contemporary realism,6,1,2,5,65,7,5,1,0,0,1,5,1,1,2,2,1,1,8,4,0,2,6,0,3,10,4,0,3,5,8,9
neo-expressionism,1,0,0,10,5,79,5,4,0,0,0,2,2,0,1,20,4,10,0,6,3,2,1,0,0,1,0,1,0,10,2,2
magic realism,14,5,0,8,7,2,96,1,2,1,0,3,0,0,1,0,2,0,6,3,1,4,5,0,0,0,3,0,2,21,11,8
cubism,7,0,0,20,1,0,2,191,0,0,0,1,2,0,0,0,4,0,0,2,14,12,0,1,1,0,0,0,0,17,8,3
northern renaissance,3,2,4,3,0,2,0,0,294,11,0,6,0,46,1,0,0,0,8,0,1,1,5,0,0,3,3,1,25,5,5,11
early renaissance,3,2,0,0,0,0,1,0,18,138,1,4,0,41,0,1,0,0,0,0,0,0,1,0,0,1,2,1,2,1,0,2
minimalism,0,0,0,0,0,1,0,0,0,0,151,0,2,0,0,3,0,6,0,1,3,0,0,18,0,0,0,0,0,0,1,1
symbolism,10,27,6,27,14,4,9,11,9,6,0,269,3,6,4,6,4,0,11,0,0,23,24,0,19,48,19,1,7,11,37,23
art informel,0,0,0,7,2,20,0,0,0,0,9,0,91,0,0,42,6,28,0,6,12,0,0,8,0,0,0,1,0,1,6,0
high renaissance,1,0,4,2,0,0,0,0,10,16,1,0,1,156,0,0,0,0,5,1,0,0,0,0,0,0,2,0,16,3,2,4
rococo,0,0,41,0,1,0,1,0,7,2,0,1,0,5,249,0,0,0,77,0,0,1,16,0,0,13,11,0,9,2,1,0
lyrical abstraction,1,0,0,1,0,1,0,2,0,0,1,0,6,0,0,75,3,9,0,1,2,0,0,11,0,0,0,0,0,1,2,2
fauvism,0,1,0,11,0,1,2,2,0,0,0,1,0,0,0,0,53,3,0,1,0,19,0,1,5,0,0,0,0,13,0,0
abstract expressionism,1,1,0,7,3,40,12,9,0,0,15,6,77,0,0,98,5,158,0,19,40,2,0,37,3,2,0,1,0,5,7,2
neoclassicism,10,3,23,5,1,0,2,1,7,2,0,1,0,12,41,0,0,0,303,0,0,0,18,0,2,12,27,0,7,2,7,4
pop art,7,4,0,5,3,12,4,2,0,0,3,0,5,1,0,3,6,5,0,131,10,0,0,4,0,0,1,0,0,16,1,0
abstract art,4,1,0,2,1,6,3,26,0,0,11,0,17,0,0,17,6,14,0,9,122,1,1,16,1,0,0,0,0,4,4,0
post-impressionism,14,19,2,109,9,7,8,8,5,2,0,31,3,5,0,6,59,3,3,2,1,367,11,0,250,77,6,0,1,35,6,34
romanticism,7,27,77,17,13,4,3,1,29,10,0,37,3,15,107,6,1,1,131,0,0,6,649,0,62,201,93,0,23,18,12,42
color field painting,0,0,0,0,4,1,1,1,0,0,26,0,2,0,0,2,0,4,0,1,8,0,0,160,0,0,0,0,0,1,0,0
impressionism,2,23,6,56,23,4,4,1,4,0,0,64,25,4,7,8,8,3,9,0,0,208,88,0,1354,301,54,1,5,11,1,33
realism,8,32,77,58,40,9,15,3,19,1,0,47,5,19,24,2,2,1,78,1,0,63,218,0,195,877,103,1,26,30,11,55
academicism,0,2,9,1,1,0,0,0,1,0,0,1,0,4,7,0,0,0,32,0,0,0,6,0,3,15,76,0,5,0,2,3
ukiyo-e,4,7,0,2,0,0,2,1,1,1,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,0,177,0,2,5,2
mannerism (late renaissance),2,0,6,2,0,0,0,0,17,7,0,3,0,44,4,0,0,0,9,0,0,0,2,0,0,4,3,0,157,2,0,2
naïve art (primitivism),15,8,0,24,5,12,13,8,4,1,0,0,1,1,2,4,12,2,4,8,5,20,2,0,2,4,1,2,1,303,11,10
surrealism,33,8,2,28,8,39,33,38,10,4,1,17,8,4,0,11,10,6,8,19,37,2,14,2,1,2,5,0,1,81,356,16
neo-romanticism,6,4,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,2,0,2,6,0,0,0,0,1,65
