,precisions,recalls,f1
nude painting (nu),0.5039619651347068,0.7327188940092166,0.5971830985915493
marina,0.42758620689655175,0.8831908831908832,0.5762081784386617
animal painting,0.3277591973244147,0.7075812274368231,0.44799999999999995
self-portrait,0.1851106639839034,0.6618705035971223,0.2893081761006289
genre painting,0.7312626603646185,0.4458624948538493,0.5539641943734016
symbolic painting,0.3764705882352941,0.47558386411889597,0.4202626641651032
abstract,0.8276089828269485,0.799617102744097,0.813372281726712
figurative,0.30385164051355207,0.4329268292682927,0.35708298407376365
landscape,0.8781431334622823,0.6594045025417574,0.7532144338448776
portrait,0.8162637362637363,0.5971061093247588,0.6896935933147632
flower painting,0.49287169042769857,0.8832116788321168,0.6326797385620916
design,0.46853146853146854,0.6504854368932039,0.5447154471544716
religious painting,0.6993067590987868,0.6255813953488372,0.6603927986906709
mythological painting,0.3593429158110883,0.5116959064327485,0.4221954161640531
sketch and study,0.6377708978328174,0.5061425061425061,0.5643835616438356
still life,0.7345309381237525,0.7117988394584139,0.7229862475442044
illustration,0.5202185792349727,0.672316384180791,0.5865680837954406
cityscape,0.641139804096171,0.7570977917981072,0.6943105110896818
