,precisions,recalls,f1
art deco,0.2743362831858407,0.8017241379310345,0.4087912087912088
art nouveau (modern),0.6114982578397212,0.42136854741896757,0.4989339019189765
baroque,0.5953488372093023,0.45714285714285713,0.5171717171717173
expressionism,0.5167567567567568,0.3273972602739726,0.4008385744234801
contemporary realism,0.25793650793650796,0.3869047619047619,0.30952380952380953
neo-expressionism,0.2073490813648294,0.4619883040935672,0.28623188405797106
magic realism,0.3764705882352941,0.46601941747572817,0.4164859002169197
cubism,0.5176151761517616,0.6678321678321678,0.5832061068702291
northern renaissance,0.6189473684210526,0.6681818181818182,0.6426229508196721
early renaissance,0.6359447004608295,0.6301369863013698,0.6330275229357798
minimalism,0.6801801801801802,0.8074866310160428,0.7383863080684597
symbolism,0.4483333333333333,0.4216300940438871,0.4345718901453958
art informel,0.3181818181818182,0.3807531380753138,0.3466666666666667
high renaissance,0.3611111111111111,0.6964285714285714,0.47560975609756095
rococo,0.4751908396946565,0.5697940503432495,0.518210197710718
lyrical abstraction,0.21929824561403508,0.635593220338983,0.32608695652173914
fauvism,0.17491749174917492,0.4690265486725664,0.2548076923076923
abstract expressionism,0.5703971119133574,0.2872727272727273,0.3821039903264813
neoclassicism,0.39147286821705424,0.6183673469387755,0.47943037974683544
pop art,0.5177865612648221,0.5874439461883408,0.5504201680672269
abstract art,0.44525547445255476,0.45864661654135336,0.45185185185185184
post-impressionism,0.41657207718501704,0.33887349953831947,0.37372708757637474
romanticism,0.579982126899017,0.4068965517241379,0.4782608695652173
color field painting,0.6177606177606177,0.7582938388625592,0.6808510638297872
impressionism,0.6880081300813008,0.5869094061551798,0.6334502923976608
realism,0.5161859917598587,0.43415841584158416,0.4716321591825759
academicism,0.17002237136465326,0.4523809523809524,0.24715447154471543
ukiyo-e,0.8894472361809045,0.8388625592417062,0.8634146341463413
mannerism (late renaissance),0.37740384615384615,0.5946969696969697,0.46176470588235297
naïve art (primitivism),0.4100135317997294,0.6247422680412371,0.49509803921568635
surrealism,0.5943238731218697,0.4427860696517413,0.5074839629365644
neo-romanticism,0.15258215962441316,0.6565656565656566,0.24761904761904763
