index_name,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,86,5,0,0,0,1,4,3,0,0,0,2,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,2,5,2
art nouveau (modern),16,488,6,22,4,4,4,4,12,1,2,76,6,2,2,2,3,4,4,3,6,27,20,0,22,28,0,14,1,17,28,5
baroque,0,4,542,0,1,0,0,1,44,4,1,19,0,15,67,0,0,0,8,0,0,0,46,0,1,16,2,0,48,7,13,1
expressionism,8,87,3,501,17,87,31,52,7,5,3,70,30,1,0,16,61,28,8,8,17,115,21,0,44,57,0,8,2,54,104,15
contemporary realism,2,6,2,8,55,7,10,1,0,2,1,10,1,1,0,2,0,0,4,3,0,3,12,0,6,11,1,0,0,2,15,3
neo-expressionism,0,3,0,19,3,70,4,3,0,0,1,6,10,0,0,7,1,14,0,7,2,2,1,0,1,1,0,0,0,3,12,1
magic realism,6,7,2,9,10,4,100,2,3,2,0,7,0,0,0,1,1,1,0,4,1,4,3,0,1,4,1,1,1,11,16,4
cubism,3,4,0,16,0,1,2,197,0,0,0,6,3,0,0,0,2,0,0,6,10,7,0,1,1,0,0,0,0,7,19,1
northern renaissance,0,6,10,1,0,0,0,0,330,24,0,8,1,20,0,0,0,0,3,0,0,1,10,0,1,0,0,2,15,1,6,1
early renaissance,0,2,2,2,0,0,0,1,18,152,1,5,0,25,0,0,0,0,2,0,0,1,3,0,0,0,0,0,1,1,3,0
minimalism,1,0,0,0,1,1,0,0,0,0,158,0,3,0,0,0,0,1,0,3,3,0,0,14,1,0,0,0,0,0,1,0
symbolism,2,38,5,22,5,1,9,8,13,5,3,339,4,3,8,1,1,1,2,0,4,17,22,2,23,50,0,0,6,5,36,3
art informel,0,4,0,15,1,13,1,2,0,0,13,1,86,0,0,30,2,33,0,5,15,0,0,5,2,0,0,0,0,5,6,0
high renaissance,0,1,16,1,0,0,0,0,22,23,1,6,0,128,1,0,0,0,0,0,0,0,1,0,0,1,0,0,19,3,1,0
rococo,0,1,76,0,1,1,0,0,9,1,0,6,0,1,290,0,0,0,14,0,0,0,25,0,0,7,0,0,4,1,0,0
lyrical abstraction,0,1,0,2,0,7,1,2,0,0,3,1,12,0,0,63,1,11,0,1,6,1,0,2,0,1,0,0,0,0,2,1
fauvism,0,2,0,22,0,6,0,4,0,0,0,2,4,0,0,1,35,3,0,1,0,18,0,0,3,0,0,0,0,9,3,0
abstract expressionism,3,4,0,15,1,38,2,10,0,0,30,5,90,0,0,51,2,179,1,18,46,2,0,19,3,8,0,0,0,3,19,1
neoclassicism,5,10,43,2,0,1,0,1,5,2,1,8,0,6,54,0,0,0,271,0,1,2,38,0,2,7,14,0,7,2,8,0
pop art,6,11,0,9,2,12,2,3,1,0,3,1,3,0,0,4,0,10,0,116,9,0,0,2,0,1,1,2,0,7,16,2
abstract art,2,1,0,7,1,3,1,18,0,0,12,3,16,0,0,13,3,15,0,7,135,0,0,9,2,0,0,0,0,4,14,0
post-impressionism,3,54,5,102,8,13,5,17,6,3,0,56,6,0,0,2,40,4,2,1,3,448,18,0,174,53,0,5,1,24,17,13
romanticism,2,40,98,14,6,1,3,1,31,9,1,92,3,10,114,5,0,2,41,0,0,14,787,0,74,163,31,1,15,11,15,11
color field painting,1,1,0,0,1,4,1,0,0,0,40,0,4,0,0,5,0,9,0,3,4,0,0,135,0,0,0,0,0,0,3,0
impressionism,2,34,12,46,17,4,4,4,5,1,1,90,14,2,4,10,10,6,1,0,0,253,79,1,1426,241,4,0,5,17,9,5
realism,3,68,112,34,25,3,13,1,31,3,0,96,3,11,19,7,1,1,29,1,1,85,263,1,226,882,30,2,8,20,24,17
academicism,0,3,16,0,0,0,3,0,4,0,0,12,1,1,10,0,0,0,17,0,0,0,36,0,4,10,38,0,6,0,5,2
ukiyo-e,1,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,185,0,2,3,0
mannerism (late renaissance),1,3,36,0,0,0,0,0,23,12,0,3,0,25,6,0,0,0,0,0,0,0,4,0,1,1,0,0,146,1,2,0
naïve art (primitivism),11,16,5,25,2,8,11,11,10,2,0,7,1,0,1,4,3,2,1,6,4,12,3,0,1,6,0,2,0,283,39,9
surrealism,7,24,2,33,7,21,31,34,12,4,4,33,11,1,0,6,0,13,1,14,22,3,11,2,2,3,1,1,0,30,467,4
neo-romanticism,0,12,1,3,1,1,1,0,1,0,0,5,0,0,0,0,0,1,0,1,0,3,6,0,4,3,0,0,0,2,3,51
