,precisions,recalls,f1
art deco,0.5029239766081871,0.7413793103448276,0.5993031358885018
art nouveau (modern),0.5126050420168067,0.5858343337334934,0.5467787114845937
baroque,0.545271629778672,0.6452380952380953,0.5910577971646674
expressionism,0.5375536480686696,0.34315068493150686,0.4188963210702341
contemporary realism,0.3254437869822485,0.3273809523809524,0.32640949554896137
neo-expressionism,0.22435897435897437,0.4093567251461988,0.2898550724637681
magic realism,0.411522633744856,0.4854368932038835,0.44543429844098
cubism,0.5184210526315789,0.6888111888111889,0.5915915915915915
northern renaissance,0.5621805792163543,0.75,0.6426484907497566
early renaissance,0.596078431372549,0.6940639269406392,0.6413502109704641
minimalism,0.5663082437275986,0.8449197860962567,0.6781115879828327
symbolism,0.3476923076923077,0.5313479623824452,0.4203347799132053
art informel,0.27564102564102566,0.3598326359832636,0.31215970961887474
high renaissance,0.5059288537549407,0.5714285714285714,0.5366876310272537
rococo,0.5034722222222222,0.6636155606407322,0.5725567620927936
lyrical abstraction,0.27391304347826084,0.5338983050847458,0.3620689655172414
fauvism,0.21084337349397592,0.30973451327433627,0.25089605734767023
abstract expressionism,0.528023598820059,0.32545454545454544,0.40269966254218226
neoclassicism,0.6625916870415648,0.5530612244897959,0.6028921023359288
pop art,0.5523809523809524,0.5201793721973094,0.535796766743649
abstract art,0.45918367346938777,0.5075187969924813,0.4821428571428572
post-impressionism,0.4392156862745098,0.4136657433056325,0.42605801236329055
romanticism,0.5585521646557843,0.4934169278996865,0.5239680426098535
color field painting,0.6994818652849741,0.6398104265402843,0.6683168316831682
impressionism,0.7038499506416585,0.6181187689640225,0.6582044772674822
realism,0.5675675675675675,0.43663366336633663,0.493564633463906
academicism,0.3089430894308943,0.2261904761904762,0.2611683848797251
ukiyo-e,0.8295964125560538,0.8767772511848341,0.8525345622119817
mannerism (late renaissance),0.512280701754386,0.553030303030303,0.5318761384335154
naïve art (primitivism),0.5299625468164794,0.5835051546391753,0.5554465161923454
surrealism,0.5109409190371991,0.5808457711442786,0.5436554132712456
neo-romanticism,0.3355263157894737,0.5151515151515151,0.4063745019920319
