,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism
art deco,320,1,5,2,5,14,6,9,1,6,0,5,7,27,14,3,9,0
art nouveau (modern),0,287,1,0,4,7,5,1,22,0,0,0,0,3,3,2,0,16
baroque,6,0,188,1,6,6,12,10,3,1,2,3,4,8,10,12,5,0
expressionism,5,0,2,180,8,2,3,3,0,52,0,2,6,0,12,2,1,0
contemporary realism,117,43,79,56,1121,55,21,79,69,145,11,49,178,79,70,40,145,72
neo-expressionism,27,6,20,10,20,196,14,46,12,3,4,21,27,26,8,16,6,9
magic realism,13,10,21,0,6,44,1196,155,15,0,27,17,1,2,18,32,7,3
cubism,15,2,19,8,17,39,88,193,4,12,8,21,4,5,17,22,13,5
northern renaissance,8,190,30,2,70,59,68,26,1839,0,45,14,8,14,50,26,31,274
early renaissance,70,0,3,788,172,39,23,41,1,1631,7,31,145,38,73,20,27,1
minimalism,0,1,4,0,0,2,7,5,1,0,232,0,0,0,0,21,0,1
symbolism,7,0,3,1,5,10,15,24,6,10,3,246,7,4,16,3,35,17
art informel,29,2,10,24,60,37,10,24,9,54,1,16,794,115,31,7,58,9
high renaissance,28,2,6,2,18,15,0,4,12,9,2,9,54,164,5,1,11,0
rococo,57,7,25,38,24,6,17,27,29,23,9,14,17,12,442,13,39,15
lyrical abstraction,3,1,9,3,4,16,19,28,0,3,48,5,3,2,4,366,2,1
fauvism,10,1,13,8,44,25,6,15,2,6,2,35,45,22,27,5,433,9
abstract expressionism,0,34,3,0,22,10,10,14,68,1,1,19,3,0,6,6,13,741
