,precisions,recalls,f1
nude painting (nu),0.4476987447698745,0.7396313364055299,0.5577758470894874
marina,0.4889267461669506,0.8176638176638177,0.6119402985074627
animal painting,0.42727272727272725,0.6787003610108303,0.5244072524407253
self-portrait,0.16042780748663102,0.6474820143884892,0.2571428571428572
genre painting,0.6969508400746733,0.4610951008645533,0.5550049554013875
symbolic painting,0.3385146804835924,0.416135881104034,0.3733333333333333
abstract,0.7855263157894737,0.7619655392469687,0.7735665694849369
figurative,0.26853146853146853,0.3902439024390244,0.31814415907207955
landscape,0.8782234957020058,0.6677559912854031,0.7586633663366337
portrait,0.8331632653061225,0.52508038585209,0.644181459566075
flower painting,0.5785536159600998,0.8467153284671532,0.6874074074074075
design,0.4841897233201581,0.5946601941747572,0.5337690631808278
religious painting,0.611239414934565,0.6155038759689923,0.6133642332947085
mythological painting,0.3135755258126195,0.47953216374269003,0.3791907514450867
sketch and study,0.550561797752809,0.5417690417690417,0.5461300309597522
still life,0.6144781144781145,0.7059961315280464,0.6570657065706571
illustration,0.516867469879518,0.6059322033898306,0.5578673602080624
cityscape,0.6301020408163265,0.7791798107255521,0.6967559943582511
