,nude painting (nu),marina,animal painting,self-portrait,genre painting,symbolic painting,abstract,figurative,landscape,portrait,flower painting,design,religious painting,mythological painting,sketch and study,still life,illustration,cityscape
nude painting (nu),304,1,3,1,11,9,7,14,4,5,0,5,8,30,20,8,4,0
marina,0,299,0,0,2,3,2,1,21,0,1,0,0,1,4,0,1,16
animal painting,4,4,178,0,7,7,9,13,3,1,2,6,3,6,11,15,8,0
self-portrait,2,0,1,164,6,6,4,10,1,63,0,2,4,0,14,0,1,0
genre painting,107,55,77,46,1116,68,21,83,97,140,12,55,116,72,96,45,143,80
symbolic painting,28,13,22,8,24,201,22,49,9,3,5,20,15,14,11,13,4,10
abstract,11,23,14,0,2,34,1260,114,19,0,14,10,0,1,23,31,4,7
figurative,17,4,15,4,13,41,92,200,6,12,5,18,3,3,22,26,5,6
landscape,10,207,25,2,34,53,47,28,1946,0,31,14,3,11,44,19,28,252
portrait,73,1,12,658,201,51,22,49,1,1654,9,38,120,32,129,27,32,1
flower painting,0,0,5,0,1,1,8,4,2,0,231,2,0,0,0,19,1,0
design,4,0,4,1,3,8,14,22,8,6,5,251,6,3,25,3,31,18
religious painting,25,3,10,16,60,41,10,24,14,49,0,23,742,127,56,5,74,11
mythological painting,21,4,10,2,21,17,1,2,11,8,1,10,44,164,7,2,17,0
sketch and study,38,7,22,24,24,7,12,15,32,18,10,15,10,6,522,8,26,18
still life,3,1,10,4,6,10,16,23,3,1,41,8,3,2,5,378,0,3
illustration,7,2,17,4,37,14,7,22,6,8,1,33,20,22,45,3,451,9
cityscape,0,45,1,0,17,10,14,13,72,1,1,18,2,0,10,5,11,731
