,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,73,7,1,2,2,1,3,3,0,0,1,0,1,0,0,0,1,0,0,7,1,2,0,0,0,0,1,2,0,3,3,2
art nouveau (modern),34,343,5,29,13,6,12,4,15,13,0,34,5,4,3,2,12,7,14,10,5,45,13,0,16,32,24,50,1,34,18,30
baroque,3,4,343,4,5,0,3,1,35,14,0,6,0,24,102,0,0,0,33,0,0,3,63,0,4,56,21,0,102,4,5,5
expressionism,12,49,4,340,65,138,22,70,8,7,2,34,28,3,3,21,154,24,6,20,13,140,5,1,43,60,9,7,4,77,65,26
contemporary realism,8,2,3,6,56,7,8,1,0,1,1,5,0,1,2,3,2,0,4,2,0,4,7,0,6,15,5,0,1,3,9,6
neo-expressionism,1,7,0,10,5,70,4,4,1,0,1,0,8,0,0,14,8,11,0,5,4,2,0,1,1,0,0,2,0,7,4,1
magic realism,11,7,1,5,21,4,78,2,1,2,0,6,0,0,2,0,2,2,2,8,1,6,2,0,2,1,5,1,0,16,8,10
cubism,7,0,1,12,0,4,4,184,0,0,0,2,0,0,0,0,7,1,0,8,21,12,0,1,2,1,0,1,0,9,8,1
northern renaissance,1,6,13,3,0,2,0,0,216,55,0,10,0,44,2,0,0,0,10,0,0,5,4,0,1,16,3,1,32,4,1,11
early renaissance,0,1,2,0,0,0,0,0,18,150,0,3,1,24,0,0,0,1,2,0,0,1,0,0,0,5,4,1,2,0,1,3
minimalism,0,1,0,0,0,1,0,0,0,0,155,0,2,0,0,1,0,1,0,1,3,0,0,21,0,1,0,0,0,0,0,0
symbolism,6,27,12,21,16,4,10,17,14,13,0,217,3,2,9,7,13,1,9,0,0,28,23,1,34,50,28,3,13,11,34,12
art informel,1,1,0,4,1,18,0,0,0,0,11,2,80,0,0,30,5,42,0,4,24,0,0,5,1,1,0,0,0,2,6,1
high renaissance,2,1,12,1,0,0,0,0,25,34,1,3,2,102,3,0,0,0,4,0,1,0,0,0,0,2,3,0,24,1,1,2
rococo,0,2,50,0,4,1,0,0,6,4,0,2,0,1,259,1,0,0,25,0,0,0,38,0,0,15,18,0,8,1,1,1
lyrical abstraction,0,0,0,1,2,7,1,3,0,0,1,1,2,0,0,63,2,20,0,1,5,0,0,7,0,0,0,0,0,0,2,0
fauvism,0,1,0,7,0,6,3,8,0,1,0,1,0,0,0,0,54,4,0,2,0,15,0,1,6,0,0,0,0,4,0,0
abstract expressionism,1,2,0,9,5,30,3,5,0,0,22,7,107,0,0,72,8,170,0,18,39,2,0,27,5,0,0,2,0,2,11,3
neoclassicism,4,6,29,6,6,0,0,1,12,2,1,2,0,5,68,0,0,1,222,0,1,1,35,0,2,22,43,0,8,2,4,7
pop art,5,5,0,5,3,19,4,3,1,0,4,0,5,0,0,2,7,8,0,120,14,1,0,1,0,0,0,0,0,13,3,0
abstract art,1,0,0,3,1,9,3,28,0,0,11,1,14,0,0,13,8,18,0,8,117,1,0,18,2,0,0,0,0,0,9,1
post-impressionism,5,25,4,76,20,13,3,9,2,4,0,30,5,3,3,5,125,1,4,0,2,352,7,0,245,69,15,6,1,28,5,16
romanticism,3,34,98,14,23,3,5,0,41,20,0,38,1,13,181,3,1,4,64,0,1,15,518,0,101,196,127,4,20,13,14,40
color field painting,0,0,0,0,5,1,0,0,0,0,22,0,4,0,0,5,0,7,0,2,8,0,0,157,0,0,0,0,0,0,0,0
impressionism,1,13,17,34,33,6,4,3,3,2,1,54,10,3,13,9,18,3,4,1,0,296,71,1,1367,240,73,2,5,6,0,14
realism,4,52,109,47,60,9,5,4,28,2,0,45,3,9,69,4,1,2,37,1,0,97,200,0,279,730,134,6,26,15,9,33
academicism,0,1,17,1,3,0,0,0,3,1,0,2,0,2,21,1,0,1,11,0,0,0,3,0,3,16,77,0,3,0,1,1
ukiyo-e,2,5,0,2,0,1,4,1,1,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,183,0,5,2,0
mannerism (late renaissance),1,2,31,2,1,0,0,0,19,18,0,3,0,29,8,0,0,0,7,0,0,1,2,0,0,5,9,0,124,0,1,1
naïve art (primitivism),12,25,8,34,10,25,20,11,5,3,0,5,1,1,4,4,19,2,2,16,7,22,0,0,4,6,3,10,1,182,25,18
surrealism,15,12,3,23,27,46,53,55,11,8,2,27,18,3,0,11,8,13,14,27,33,2,17,2,2,1,7,5,1,45,294,19
neo-romanticism,2,10,1,2,1,0,1,2,1,0,0,6,0,0,0,0,1,0,0,0,0,6,5,0,6,4,1,0,0,0,1,49
