,precisions,recalls,f1
nude painting (nu),0.4648318042813456,0.7004608294930875,0.5588235294117647
marina,0.4469357249626308,0.8518518518518519,0.5862745098039215
animal painting,0.41784037558685444,0.6425992779783394,0.5064011379800853
self-portrait,0.17558886509635974,0.5899280575539568,0.2706270627062706
genre painting,0.7041009463722397,0.45944833264717994,0.5560538116591928
symbolic painting,0.3459552495697074,0.4267515923566879,0.3821292775665399
abstract,0.8035714285714286,0.8040842373962986,0.8038277511961722
figurative,0.2915451895043732,0.4065040650406504,0.3395585738539898
landscape,0.8629711751662971,0.7066085693536674,0.7770013974845279
portrait,0.8400203148806501,0.5318327974276528,0.6513093128568617
flower painting,0.6260162601626016,0.843065693430657,0.7185069984447899
design,0.4753787878787879,0.6092233009708737,0.5340425531914893
religious painting,0.6751592356687898,0.5751937984496124,0.6211804102134784
mythological painting,0.3319838056680162,0.47953216374269003,0.39234449760765555
sketch and study,0.5,0.6412776412776413,0.5618945102260495
still life,0.6227347611202636,0.7311411992263056,0.6725978647686832
illustration,0.5362663495838288,0.6370056497175142,0.5823111684958038
cityscape,0.6290877796901894,0.768664563617245,0.6919072408897302
