,precisions,recalls,f1
art deco,0.3395348837209302,0.6293103448275862,0.44108761329305135
art nouveau (modern),0.5268817204301075,0.4117647058823529,0.4622641509433962
baroque,0.4489528795811518,0.4083333333333333,0.42768079800498754
expressionism,0.48364153627311524,0.2328767123287671,0.3143781784558483
contemporary realism,0.14432989690721648,0.3333333333333333,0.2014388489208633
neo-expressionism,0.16241299303944315,0.4093567251461988,0.23255813953488372
magic realism,0.308300395256917,0.3786407766990291,0.3398692810457516
cubism,0.43914081145584727,0.6433566433566433,0.5219858156028369
northern renaissance,0.463519313304721,0.4909090909090909,0.4768211920529801
early renaissance,0.423728813559322,0.684931506849315,0.5235602094240838
minimalism,0.6567796610169492,0.8288770053475936,0.7328605200945627
symbolism,0.395985401459854,0.3401253918495298,0.36593591905564926
art informel,0.26666666666666666,0.33472803347280333,0.29684601113172543
high renaissance,0.37362637362637363,0.45535714285714285,0.4104627766599598
rococo,0.34441489361702127,0.5926773455377574,0.4356602186711522
lyrical abstraction,0.23247232472324722,0.5338983050847458,0.3239074550128535
fauvism,0.11842105263157894,0.4778761061946903,0.1898066783831283
abstract expressionism,0.4927536231884058,0.3090909090909091,0.3798882681564246
neoclassicism,0.46835443037974683,0.4530612244897959,0.46058091286307057
pop art,0.4580152671755725,0.5381165919282511,0.49484536082474223
abstract art,0.38870431893687707,0.4398496240601504,0.4126984126984127
post-impressionism,0.3323890462700661,0.3250230840258541,0.3286647992530346
romanticism,0.5113524185587365,0.3247648902821317,0.39723926380368096
color field painting,0.6434426229508197,0.7440758293838863,0.6901098901098901
impressionism,0.6411819887429644,0.5925444299956654,0.6159044829916648
realism,0.4727979274611399,0.3613861386138614,0.409652076318743
academicism,0.12622950819672132,0.4583333333333333,0.19794344473007713
ukiyo-e,0.6398601398601399,0.8672985781990521,0.7364185110663983
mannerism (late renaissance),0.32978723404255317,0.4696969696969697,0.3875
naïve art (primitivism),0.3737166324435318,0.3752577319587629,0.3744855967078189
surrealism,0.5394495412844037,0.3656716417910448,0.4358784284655301
neo-romanticism,0.15654952076677317,0.494949494949495,0.23786407766990295
