,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,79,4,0,1,1,1,6,3,0,1,0,0,0,1,0,0,1,0,0,1,4,1,0,0,1,0,2,3,0,2,2,2
art nouveau (modern),20,368,3,32,13,2,18,4,6,7,2,53,8,3,2,1,12,5,15,11,5,35,15,1,17,37,13,54,1,24,18,28
baroque,1,5,365,2,3,1,3,1,30,9,0,9,0,24,83,0,0,0,51,0,0,1,55,0,2,49,27,0,107,6,5,1
expressionism,21,84,2,343,45,112,20,92,6,6,4,51,36,1,0,31,125,24,7,16,20,130,4,1,43,43,5,12,11,70,75,20
contemporary realism,7,2,1,10,65,9,7,1,0,1,1,3,1,0,1,3,2,2,4,1,1,1,2,0,3,16,8,0,1,3,9,3
neo-expressionism,2,8,0,11,5,67,2,4,0,0,1,1,5,0,0,18,6,13,0,8,4,3,0,0,0,0,0,0,0,8,5,0
magic realism,12,7,1,3,19,2,89,2,1,2,0,6,1,1,0,2,2,0,0,6,1,8,0,0,2,1,1,2,1,12,14,8
cubism,3,0,0,10,0,5,2,188,0,0,0,3,2,0,0,1,6,1,0,3,28,6,0,0,1,1,0,2,0,6,17,1
northern renaissance,4,9,11,2,1,1,1,0,247,38,0,9,0,34,2,0,0,0,13,0,0,2,2,0,1,6,4,2,39,2,2,8
early renaissance,1,0,2,0,0,0,0,1,21,154,0,5,0,20,0,0,0,2,1,0,0,0,0,0,0,4,1,1,1,0,3,2
minimalism,0,1,0,0,0,1,0,0,0,0,160,0,2,0,0,1,0,2,0,0,6,0,0,13,0,1,0,0,0,0,0,0
symbolism,5,34,14,21,15,2,11,12,12,7,0,245,5,3,7,7,10,2,7,1,1,21,28,2,30,39,22,4,10,12,36,13
art informel,1,1,0,3,1,9,0,1,0,0,13,3,94,0,0,28,6,37,0,4,24,0,0,5,1,0,0,1,0,1,6,0
high renaissance,1,4,8,0,0,0,0,0,24,30,0,3,0,113,2,0,0,0,5,0,1,0,0,1,0,0,1,0,28,2,0,1
rococo,1,2,69,0,2,0,0,0,2,3,0,4,0,3,242,0,0,0,25,0,0,0,37,0,0,15,23,0,6,1,1,1
lyrical abstraction,0,0,0,0,0,0,0,4,0,0,2,4,7,0,0,63,4,19,0,1,5,1,0,6,0,0,0,0,0,1,1,0
fauvism,0,0,0,9,0,1,1,6,1,0,0,1,2,0,0,0,59,5,0,3,2,10,0,1,6,0,0,0,0,5,1,0
abstract expressionism,2,3,0,7,2,24,4,4,0,0,25,8,106,0,0,66,12,175,0,19,39,4,0,25,4,2,0,1,0,5,10,3
neoclassicism,3,8,30,2,3,0,1,2,7,3,1,4,0,6,56,0,0,0,254,1,0,1,28,0,1,13,51,1,5,0,8,1
pop art,3,8,0,5,2,11,2,3,0,0,5,1,5,0,0,3,4,9,0,125,11,1,0,4,0,0,2,1,1,10,7,0
abstract art,0,0,0,2,1,6,2,17,0,1,10,4,15,0,0,15,5,16,0,6,134,0,0,17,3,0,0,1,0,5,6,0
post-impressionism,4,51,3,75,16,15,9,21,1,7,1,40,11,2,0,2,101,8,3,0,2,349,3,0,229,65,10,10,1,20,9,15
romanticism,5,31,88,24,19,2,8,0,29,16,0,55,4,6,121,5,0,3,57,0,0,13,589,0,104,190,140,3,25,13,20,25
color field painting,0,0,0,0,4,0,0,0,0,0,26,0,4,0,0,7,0,6,0,3,9,0,0,152,0,0,0,0,0,0,0,0
impressionism,2,19,12,31,34,5,1,4,4,2,1,89,18,3,7,11,16,9,3,1,0,278,63,1,1371,246,42,1,4,8,4,17
realism,3,67,91,45,70,1,13,3,16,7,1,75,8,9,30,4,1,5,37,3,1,93,207,1,262,738,135,10,26,17,16,25
academicism,2,0,15,0,1,0,1,0,4,2,0,2,0,1,12,1,0,0,10,0,0,0,6,0,2,16,86,0,4,0,1,2
ukiyo-e,0,5,0,1,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,189,0,3,3,0
mannerism (late renaissance),2,2,23,1,1,1,0,1,17,16,0,6,0,30,3,0,0,0,5,0,0,2,2,0,0,3,6,0,142,1,0,0
naïve art (primitivism),9,33,5,18,5,16,21,12,2,4,0,4,4,1,1,5,17,4,2,17,6,17,0,0,1,7,2,5,1,222,34,10
surrealism,15,17,3,21,25,27,55,51,8,7,3,33,22,2,0,13,6,14,14,26,43,3,15,2,1,4,3,5,1,50,306,9
neo-romanticism,2,8,1,2,2,0,2,0,2,1,0,3,1,0,0,0,2,0,0,0,0,3,4,0,3,6,0,0,0,1,0,56
