,precisions,recalls,f1
art deco,0.3761904761904762,0.6810344827586207,0.4846625766871166
art nouveau (modern),0.471190781049936,0.4417767106842737,0.4560099132589839
baroque,0.4886211512717537,0.43452380952380953,0.4599873976055451
expressionism,0.5036710719530103,0.23493150684931507,0.32041102288650164
contemporary realism,0.18309859154929578,0.3869047619047619,0.24856596558317398
neo-expressionism,0.2087227414330218,0.391812865497076,0.27235772357723576
magic realism,0.3167259786476868,0.4320388349514563,0.3655030800821355
cubism,0.4302059496567506,0.6573426573426573,0.5200553250345782
northern renaissance,0.5600907029478458,0.5613636363636364,0.5607264472190693
early renaissance,0.47530864197530864,0.7031963470319634,0.567219152854512
minimalism,0.625,0.8556149732620321,0.7223476297968399
symbolism,0.33746556473829203,0.384012539184953,0.3592375366568915
art informel,0.2596685082872928,0.39330543933054396,0.31281198003327787
high renaissance,0.4296577946768061,0.5044642857142857,0.46406570841889117
rococo,0.4253075571177504,0.5537757437070938,0.48111332007952284
lyrical abstraction,0.21951219512195122,0.5338983050847458,0.31111111111111117
fauvism,0.1486146095717884,0.5221238938053098,0.23137254901960783
abstract expressionism,0.48476454293628807,0.3181818181818182,0.3841931942919868
neoclassicism,0.4951267056530214,0.5183673469387755,0.5064805583250249
pop art,0.4844961240310077,0.5605381165919282,0.5197505197505197
abstract art,0.3839541547277937,0.5037593984962406,0.43577235772357725
post-impressionism,0.3550356052899288,0.322253000923361,0.33785091965150044
romanticism,0.5556603773584906,0.36927899686520377,0.44369114877589455
color field painting,0.6551724137931034,0.7203791469194313,0.6862302483069976
impressionism,0.6566091954022989,0.5942782834850455,0.6238907849829352
realism,0.49134487350199735,0.36534653465346534,0.4190800681431005
academicism,0.14726027397260275,0.5119047619047619,0.22872340425531915
ukiyo-e,0.6136363636363636,0.8957345971563981,0.7283236994219653
mannerism (late renaissance),0.3421686746987952,0.5378787878787878,0.4182621502209131
naïve art (primitivism),0.43529411764705883,0.4577319587628866,0.4462311557788945
surrealism,0.49434571890145396,0.3805970149253731,0.43007730147575546
neo-romanticism,0.22310756972111553,0.5656565656565656,0.31999999999999995
