,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,80,4,1,1,1,1,5,3,0,1,0,0,0,1,0,0,0,0,0,1,4,1,0,0,1,0,1,3,0,3,2,2
art nouveau (modern),19,367,2,32,14,2,17,4,6,7,2,51,9,3,3,1,12,4,15,10,5,36,15,1,17,36,13,54,1,27,20,28
baroque,0,5,363,2,3,1,4,1,32,9,0,8,0,23,81,0,0,0,51,0,0,1,55,0,2,51,29,0,107,6,5,1
expressionism,19,85,2,343,43,113,22,92,8,6,4,52,33,1,0,31,124,26,7,15,21,126,3,2,44,44,5,9,12,71,78,19
contemporary realism,7,2,1,10,65,8,7,1,0,1,1,3,1,0,1,3,2,2,4,1,1,2,2,0,4,15,8,0,1,3,9,3
neo-expressionism,2,7,0,12,5,66,2,4,0,0,1,1,5,0,0,18,6,13,0,8,4,3,0,0,0,1,0,0,0,8,5,0
magic realism,12,7,1,3,18,2,89,2,1,2,0,6,1,1,0,2,2,0,0,6,1,8,0,0,2,1,1,2,1,12,15,8
cubism,4,0,0,9,0,5,2,186,0,0,0,3,2,0,0,0,6,1,0,3,31,6,0,0,1,1,0,2,0,6,17,1
northern renaissance,3,10,11,3,1,1,1,0,244,40,0,8,0,34,2,0,0,0,12,0,0,2,3,0,1,6,4,1,40,2,2,9
early renaissance,1,0,2,0,0,0,0,1,22,154,0,5,0,20,0,0,0,2,1,0,0,0,0,0,0,4,1,1,0,0,3,2
minimalism,0,1,0,0,0,1,0,0,0,0,160,0,3,0,0,1,0,2,0,0,5,0,0,13,0,1,0,0,0,0,0,0
symbolism,5,34,14,22,14,2,12,12,12,8,0,244,5,3,7,7,8,2,7,1,1,21,29,2,30,40,21,3,11,11,37,13
art informel,1,1,0,4,1,9,0,1,0,0,14,3,93,0,0,31,5,37,0,4,23,0,0,3,1,0,0,1,0,1,6,0
high renaissance,1,4,9,0,0,0,0,0,25,30,0,2,0,114,1,0,0,0,4,0,1,0,0,1,0,0,1,0,28,2,0,1
rococo,1,2,67,0,2,0,0,0,2,3,0,4,0,3,243,0,0,0,26,0,0,0,37,0,0,16,22,0,6,1,1,1
lyrical abstraction,0,0,0,0,0,1,0,4,0,0,2,4,7,0,0,63,4,18,0,1,5,1,0,6,0,0,0,0,0,1,1,0
fauvism,0,0,0,9,0,1,1,6,1,0,0,1,2,0,0,0,57,5,0,3,2,11,0,1,6,0,0,0,0,6,1,0
abstract expressionism,2,3,0,6,2,24,3,4,0,0,24,8,108,0,0,66,12,177,0,19,38,4,0,25,4,2,0,1,0,5,10,3
neoclassicism,3,8,32,2,2,0,1,2,7,3,1,4,0,4,57,0,0,0,253,1,0,1,29,0,1,13,50,1,5,1,8,1
pop art,3,8,0,6,2,12,2,3,0,0,4,1,5,0,0,3,4,9,0,125,12,1,0,4,0,0,2,1,1,9,6,0
abstract art,0,0,0,2,1,6,2,17,0,1,10,4,16,0,0,14,5,15,0,6,135,0,0,17,3,0,0,1,0,5,6,0
post-impressionism,4,51,3,74,15,14,9,21,1,7,1,39,11,2,0,2,98,8,3,0,2,353,3,0,228,67,10,10,1,22,9,15
romanticism,5,33,88,24,20,2,7,0,28,16,0,51,4,6,124,5,0,3,56,0,0,12,591,0,104,190,140,3,25,13,21,24
color field painting,0,0,0,0,4,0,0,0,0,0,27,0,4,0,0,6,0,6,0,3,9,0,0,152,0,0,0,0,0,0,0,0
impressionism,2,20,11,31,36,5,1,4,4,2,1,91,18,3,7,11,16,9,3,0,0,276,63,1,1372,245,41,1,4,8,4,17
realism,3,69,92,48,71,1,13,3,15,7,1,73,6,9,30,5,2,6,37,3,1,93,203,1,258,741,133,9,26,17,17,27
academicism,2,0,15,0,1,0,1,0,4,2,0,2,0,1,12,1,0,0,10,0,0,0,6,0,2,16,86,0,4,0,1,2
ukiyo-e,0,5,0,1,0,0,2,0,1,0,0,2,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,187,0,3,4,0
mannerism (late renaissance),2,3,24,1,1,1,0,1,17,16,0,5,0,30,3,0,0,0,6,0,0,2,2,0,0,3,5,0,141,1,0,0
naïve art (primitivism),10,33,6,18,6,15,19,11,4,3,0,4,4,1,1,5,17,4,2,16,6,19,0,0,1,6,2,5,1,221,36,9
surrealism,14,16,3,21,26,27,54,52,9,8,3,33,22,2,0,13,6,14,15,27,41,2,16,2,2,4,3,4,1,52,305,7
neo-romanticism,2,8,1,2,2,0,2,0,2,1,0,3,1,0,0,0,2,0,0,0,0,3,4,0,3,6,0,0,0,1,0,56
