,precisions,recalls,f1
nude painting (nu),0.5699797160243407,0.6474654377880185,0.6062567421790722
marina,0.6390977443609023,0.7264957264957265,0.6799999999999999
animal painting,0.5325077399380805,0.6209386281588448,0.5733333333333334
self-portrait,0.41706161137440756,0.31654676258992803,0.35991820040899797
genre painting,0.6614173228346457,0.5878962536023055,0.6224934612031386
symbolic painting,0.46774193548387094,0.4309978768577495,0.4486187845303867
abstract,0.7695700110253583,0.8908742820676452,0.8257911860396332
figurative,0.40816326530612246,0.2032520325203252,0.27137042062415195
landscape,0.8357089272318079,0.8090050835148874,0.822140221402214
portrait,0.7719402985074627,0.8315112540192926,0.8006191950464397
flower painting,0.7038216560509554,0.8065693430656934,0.7517006802721088
design,0.559322033898305,0.6407766990291263,0.5972850678733032
religious painting,0.7098569157392687,0.6922480620155039,0.7009419152276295
mythological painting,0.4396887159533074,0.3304093567251462,0.3772954924874791
sketch and study,0.6161745827984596,0.5896805896805897,0.6026365348399246
still life,0.73046875,0.723404255319149,0.7269193391642372
illustration,0.6122448979591837,0.635593220338983,0.6237006237006237
cityscape,0.6866666666666666,0.7581493165089379,0.72063968015992
