index_name,nude painting (nu),marina,animal painting,self-portrait,genre painting,symbolic painting,abstract,figurative,landscape,portrait,flower painting,design,religious painting,mythological painting,sketch and study,still life,illustration,cityscape
nude painting (nu),297,0,1,0,35,14,5,6,2,16,0,5,6,22,14,3,6,2
marina,0,274,0,0,6,2,4,1,47,0,0,2,0,0,0,0,1,14
animal painting,5,2,150,0,22,11,13,10,1,5,3,9,4,10,11,9,11,1
self-portrait,2,0,2,88,7,3,3,3,0,154,0,3,1,0,11,0,1,0
genre painting,52,28,38,6,1450,43,22,36,93,251,5,34,122,56,45,15,74,59
symbolic painting,6,7,11,2,50,213,21,32,13,22,3,24,20,18,6,4,6,13
abstract,9,10,4,0,11,25,1355,70,25,0,3,16,0,4,10,10,6,9
figurative,16,2,4,2,40,36,132,139,5,34,6,16,4,5,19,15,9,8
landscape,2,96,15,1,103,28,50,11,2213,1,19,7,1,6,25,9,10,157
portrait,30,0,2,103,184,24,26,21,1,2536,5,28,70,12,42,7,18,1
flower painting,0,0,4,0,2,2,10,2,8,0,227,5,0,3,0,8,2,1
design,4,0,2,0,17,10,20,10,11,11,2,250,7,3,16,2,28,19
religious painting,14,0,5,5,101,23,15,9,16,68,0,11,888,67,27,2,35,4
mythological painting,15,4,4,0,39,21,0,3,8,19,0,6,62,141,3,1,16,0
sketch and study,32,6,16,7,36,7,25,8,46,72,7,18,17,12,462,6,20,17
still life,6,3,4,1,17,14,28,19,2,12,40,12,1,1,5,348,1,3
illustration,2,0,5,1,73,20,11,7,6,24,0,41,26,9,25,1,447,10
cityscape,0,26,2,0,36,4,13,5,136,1,0,8,1,1,4,4,4,706
