,precisions,recalls,f1
nude painting (nu),0.6036585365853658,0.684331797235023,0.6414686825053996
marina,0.5982532751091703,0.7806267806267806,0.6773794808405439
animal painting,0.5576208178438662,0.5415162454873647,0.5494505494505495
self-portrait,0.4074074074074074,0.31654676258992803,0.3562753036437246
genre painting,0.6505159264244056,0.5969534787978592,0.6225848003434951
symbolic painting,0.426,0.45222929936305734,0.43872296601441807
abstract,0.7729606389047348,0.8647096362476069,0.8162650602409638
figurative,0.35459183673469385,0.28252032520325204,0.3144796380090498
landscape,0.8404861374857577,0.8035584604212055,0.8216075737887508
portrait,0.7861128332300062,0.8154340836012862,0.8005050505050505
flower painting,0.709375,0.8284671532846716,0.7643097643097643
design,0.5050505050505051,0.6067961165048543,0.5512679162072767
religious painting,0.7219512195121951,0.6883720930232559,0.7047619047619048
mythological painting,0.3810810810810811,0.41228070175438597,0.39606741573033705
sketch and study,0.6372413793103449,0.5675675675675675,0.6003898635477583
still life,0.7837837837837838,0.6731141199226306,0.7242455775234131
illustration,0.6431654676258993,0.6313559322033898,0.6372059871703492
cityscape,0.689453125,0.7423764458464774,0.7149367088607594
