,precisions,recalls,f1
nude painting (nu),0.6278118609406953,0.7073732718894009,0.6652221018418201
marina,0.6822916666666666,0.7464387464387464,0.7129251700680272
animal painting,0.6861924686192469,0.592057761732852,0.6356589147286822
self-portrait,0.39928057553956836,0.39928057553956836,0.39928057553956836
genre painting,0.6818181818181818,0.599011939069576,0.6377383300460223
symbolic painting,0.45714285714285713,0.4416135881104034,0.44924406047516197
abstract,0.7968840161569533,0.8813018506700702,0.8369696969696968
figurative,0.3633879781420765,0.2703252032520325,0.3100233100233101
landscape,0.8566953797963978,0.794480755265069,0.8244159758854558
portrait,0.7927239376337512,0.8337620578778135,0.812725278169566
flower painting,0.7418300653594772,0.8284671532846716,0.7827586206896553
design,0.4755905511811024,0.7330097087378641,0.5768863419293219
religious painting,0.708018154311649,0.7255813953488373,0.7166921898928025
mythological painting,0.42450142450142453,0.43567251461988304,0.43001443001443
sketch and study,0.6042654028436019,0.6265356265356266,0.615199034981906
still life,0.7690763052208835,0.7408123791102514,0.754679802955665
illustration,0.7207678883071553,0.5833333333333334,0.6448087431693988
cityscape,0.6958614051973051,0.7602523659305994,0.7266331658291458
