,precisions,recalls,f1
art deco,0.64,0.6896551724137931,0.6639004149377593
art nouveau (modern),0.5851755526657998,0.5402160864345739,0.5617977528089889
baroque,0.5877502944640753,0.594047619047619,0.590882178804026
expressionism,0.5271565495207667,0.4520547945205479,0.48672566371681414
contemporary realism,0.27058823529411763,0.4107142857142857,0.326241134751773
neo-expressionism,0.336,0.24561403508771928,0.2837837837837838
magic realism,0.7204301075268817,0.32524271844660196,0.4481605351170569
cubism,0.5333333333333333,0.6153846153846154,0.5714285714285715
northern renaissance,0.5486577181208053,0.7431818181818182,0.6312741312741312
early renaissance,0.7055555555555556,0.5799086757990868,0.6365914786967419
minimalism,0.6666666666666666,0.7914438502673797,0.7237163814180929
symbolism,0.445468509984639,0.45454545454545453,0.4499612102404965
art informel,0.2980769230769231,0.3891213389121339,0.33756805807622503
high renaissance,0.5182481751824818,0.3169642857142857,0.39335180055401664
rococo,0.4526166902404526,0.7322654462242563,0.5594405594405594
lyrical abstraction,0.2926829268292683,0.5084745762711864,0.37151702786377705
fauvism,0.19298245614035087,0.3893805309734513,0.25806451612903225
abstract expressionism,0.4806949806949807,0.4527272727272727,0.4662921348314607
neoclassicism,0.7046783625730995,0.49183673469387756,0.5793269230769231
pop art,0.5329949238578681,0.47085201793721976,0.5
abstract art,0.5511363636363636,0.36466165413533835,0.43891402714932126
post-impressionism,0.4511819116135663,0.4053554939981533,0.42704280155642027
romanticism,0.5151869158878505,0.5529780564263322,0.5334139703658904
color field painting,0.5932835820895522,0.7535545023696683,0.6638830897703549
impressionism,0.6938958707360862,0.6701343736454269,0.6818081587651599
realism,0.5328845157949249,0.5094059405940594,0.5208807896735004
academicism,0.35064935064935066,0.16071428571428573,0.22040816326530613
ukiyo-e,0.8157894736842105,0.8815165876777251,0.847380410022779
mannerism (late renaissance),0.34600760456273766,0.6893939393939394,0.46075949367088614
naïve art (primitivism),0.5202205882352942,0.5835051546391753,0.5500485908649174
surrealism,0.6501650165016502,0.4900497512437811,0.5588652482269503
neo-romanticism,0.3761467889908257,0.41414141414141414,0.3942307692307692
