index_name,nude painting (nu),marina,animal painting,self-portrait,genre painting,symbolic painting,abstract,figurative,landscape,portrait,flower painting,design,religious painting,mythological painting,sketch and study,still life,illustration,cityscape
nude painting (nu),318,0,3,0,24,10,4,2,1,17,1,4,1,25,10,4,9,1
marina,0,253,0,0,10,4,3,1,60,0,0,1,0,1,3,1,0,14
animal painting,1,1,185,0,16,13,13,4,3,2,1,0,4,3,8,10,13,0
self-portrait,2,0,1,100,6,5,2,6,0,140,0,1,2,0,10,1,2,0
genre painting,49,14,44,3,1532,58,12,25,80,257,2,24,84,46,42,20,91,46
symbolic painting,10,5,16,1,34,266,17,11,11,21,2,16,12,14,5,8,10,12
abstract,4,3,16,0,8,32,1359,77,22,3,0,5,0,1,11,18,6,2
figurative,14,1,12,3,35,68,106,145,4,37,1,5,2,1,14,16,19,9
landscape,1,57,28,2,88,61,44,5,2227,1,11,4,0,5,28,12,11,169
portrait,29,0,7,85,165,19,13,25,1,2609,2,13,43,11,49,17,21,1
flower painting,0,0,4,0,1,4,7,0,6,0,220,2,0,1,0,28,1,0
design,2,0,1,0,11,12,14,7,7,12,1,259,4,5,15,4,40,18
religious painting,19,0,10,2,87,38,5,7,13,79,0,9,892,54,24,0,45,6
mythological painting,11,1,7,0,34,22,2,0,8,20,0,4,58,158,4,0,13,0
sketch and study,34,2,22,6,32,7,12,9,48,72,2,14,14,16,467,8,35,14
still life,2,0,12,0,6,24,17,7,3,7,29,3,1,1,0,402,0,3
illustration,1,0,9,2,61,20,6,7,3,16,1,19,18,4,21,0,512,8
cityscape,1,13,2,0,40,5,7,7,122,1,1,8,1,0,5,3,8,727
