index_name,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,88,2,1,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,5,0,1,0,0,1,2,0,1,0,0,5,0
art nouveau (modern),9,519,5,35,5,0,1,1,5,3,0,66,9,4,2,0,2,3,1,17,1,12,20,0,28,51,9,4,0,5,11,5
baroque,0,2,611,1,1,0,1,0,31,2,0,8,0,16,70,0,0,0,6,0,0,0,48,0,0,26,1,0,15,1,0,0
expressionism,5,65,2,769,21,21,3,32,8,1,0,66,37,1,1,2,32,27,1,22,6,100,10,0,59,85,1,3,2,27,48,3
contemporary realism,4,4,1,12,81,4,1,0,0,1,1,1,1,0,0,0,1,2,0,5,0,2,8,0,8,17,4,0,0,2,6,2
neo-expressionism,0,2,1,45,3,54,1,2,1,0,0,1,7,0,0,2,1,18,0,11,2,2,0,1,2,1,0,1,0,4,9,0
magic realism,6,11,2,18,11,2,85,3,5,2,0,4,2,0,0,0,0,0,2,7,0,5,7,0,2,2,3,1,0,5,21,0
cubism,2,4,0,40,1,1,0,189,0,1,0,2,4,1,0,0,3,2,0,2,5,6,0,0,4,1,0,0,0,3,15,0
northern renaissance,0,6,19,2,1,0,0,0,350,4,0,9,0,25,1,0,0,0,3,0,0,0,10,0,0,2,1,0,4,0,2,1
early renaissance,0,2,3,0,0,0,0,0,32,139,0,4,1,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,4,1,0
minimalism,0,0,0,0,1,0,0,0,0,0,149,0,6,0,0,0,0,6,0,1,3,0,1,20,0,0,0,0,0,0,0,0
symbolism,1,40,9,33,8,2,0,4,5,1,0,370,2,1,8,0,0,0,0,0,0,8,31,1,31,52,1,0,3,3,23,1
art informel,0,0,0,14,2,5,0,1,0,0,6,0,129,0,0,6,2,45,0,5,5,0,0,5,1,2,0,0,0,1,10,0
high renaissance,0,0,14,1,0,0,0,0,22,8,0,0,0,155,1,0,0,0,1,0,0,0,4,0,0,4,0,0,13,1,0,0
rococo,0,0,38,0,0,0,0,0,2,0,0,4,0,1,339,0,0,0,9,0,0,0,34,0,0,6,2,0,1,0,1,0
lyrical abstraction,0,1,0,3,1,0,0,3,0,0,4,2,24,0,0,43,1,25,0,1,1,0,0,7,1,0,0,0,0,0,1,0
fauvism,0,2,0,39,0,0,0,5,0,0,0,2,5,0,0,0,31,1,0,0,1,23,0,0,3,0,0,0,0,1,0,0
abstract expressionism,1,2,0,22,6,8,3,8,0,0,8,8,155,0,0,15,0,248,0,16,17,2,1,17,2,0,0,0,0,1,10,0
neoclassicism,1,10,32,5,0,0,0,1,10,1,0,8,0,7,65,0,1,0,240,0,0,1,65,0,0,19,19,0,2,0,3,0
pop art,3,6,0,12,1,6,0,2,0,0,4,2,8,0,0,1,1,9,0,147,5,0,1,3,0,0,0,0,0,4,7,1
abstract art,0,0,0,16,1,3,1,40,0,0,12,3,34,0,0,4,1,22,0,6,95,0,0,15,1,0,0,0,0,0,11,1
post-impressionism,4,48,3,128,11,2,2,9,1,3,0,32,8,1,0,0,14,5,1,0,0,374,14,0,310,86,1,3,0,15,5,3
romanticism,1,37,65,17,9,0,2,0,23,3,0,55,1,9,111,0,0,2,17,0,0,3,947,0,47,205,28,1,1,1,7,3
color field painting,0,0,0,0,2,0,0,0,0,0,21,0,4,0,0,3,0,10,0,2,6,0,0,163,0,0,0,0,0,0,0,0
impressionism,0,18,3,39,14,2,2,0,3,1,0,55,5,0,7,1,3,2,0,1,0,92,96,0,1687,256,11,1,0,7,1,0
realism,2,51,69,33,25,1,2,2,18,2,0,56,2,7,28,0,0,1,12,2,0,38,286,0,246,1082,28,1,4,7,6,9
academicism,0,0,13,0,1,0,1,0,3,1,0,8,0,4,12,0,0,1,3,0,0,0,29,0,3,30,58,0,0,0,1,0
ukiyo-e,0,8,0,1,0,0,2,1,0,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,191,0,0,1,0
mannerism (late renaissance),0,0,39,1,0,0,0,0,14,3,0,8,0,38,8,0,0,0,1,0,0,0,11,0,0,4,3,0,133,1,0,0
naïve art (primitivism),5,27,1,51,3,3,4,9,2,2,0,11,6,0,2,3,3,2,0,15,0,13,7,1,3,9,0,1,0,269,30,3
surrealism,9,19,2,69,16,11,4,41,9,1,0,46,20,4,0,2,1,18,4,18,3,2,15,0,1,6,1,1,0,27,451,3
neo-romanticism,3,6,1,4,2,0,0,0,1,0,0,8,0,0,0,0,0,0,0,1,0,2,5,0,5,11,0,0,0,0,0,50
