,precisions,recalls,f1
art deco,0.6111111111111112,0.7586206896551724,0.676923076923077
art nouveau (modern),0.5818385650224215,0.6230492196878752,0.6017391304347827
baroque,0.6541755888650964,0.7273809523809524,0.6888387824126269
expressionism,0.5438472418670438,0.5267123287671233,0.535142658315936
contemporary realism,0.3568281938325991,0.48214285714285715,0.41012658227848103
neo-expressionism,0.432,0.3157894736842105,0.36486486486486486
magic realism,0.7391304347826086,0.41262135922330095,0.5295950155763239
cubism,0.532394366197183,0.6608391608391608,0.5897035881435257
northern renaissance,0.6422018348623854,0.7954545454545454,0.7106598984771573
early renaissance,0.776536312849162,0.634703196347032,0.6984924623115578
minimalism,0.7233009708737864,0.7967914438502673,0.7582697201017812
symbolism,0.4399524375743163,0.5799373040752351,0.5003380662609872
art informel,0.2727272727272727,0.5397489539748954,0.3623595505617977
high renaissance,0.5132450331125827,0.6919642857142857,0.5893536121673003
rococo,0.517557251908397,0.7757437070938215,0.6208791208791209
lyrical abstraction,0.524390243902439,0.3644067796610169,0.43
fauvism,0.31958762886597936,0.2743362831858407,0.2952380952380952
abstract expressionism,0.5523385300668151,0.4509090909090909,0.49649649649649646
neoclassicism,0.7894736842105263,0.4897959183673469,0.6045340050377834
pop art,0.513986013986014,0.6591928251121076,0.5776031434184675
abstract art,0.6333333333333333,0.35714285714285715,0.4567307692307692
post-impressionism,0.5451895043731778,0.34533702677746997,0.42283776144714524
romanticism,0.573939393939394,0.5937304075235109,0.5836671802773497
color field painting,0.6995708154506438,0.7725118483412322,0.7342342342342343
impressionism,0.6899795501022495,0.7312527091460772,0.7100168350168351
realism,0.5514780835881753,0.5356435643564357,0.5434455047714716
academicism,0.3391812865497076,0.34523809523809523,0.3421828908554572
ukiyo-e,0.9138755980861244,0.9052132701421801,0.9095238095238095
mannerism (late renaissance),0.7388888888888889,0.5037878787878788,0.5990990990990991
naïve art (primitivism),0.6915167095115681,0.554639175257732,0.6155606407322655
surrealism,0.6574344023323615,0.5609452736318408,0.6053691275167785
neo-romanticism,0.5882352941176471,0.5050505050505051,0.5434782608695652
