index_name,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,76,7,1,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,7,0,4,1,0,1,0,1,0,0,4,6,1
art nouveau (modern),1,449,2,48,5,5,2,2,1,5,0,73,4,4,1,0,1,7,4,6,1,38,36,1,23,54,4,11,1,22,13,9
baroque,0,3,500,3,3,0,0,0,24,5,0,11,0,41,52,0,0,0,4,0,0,1,70,0,0,54,3,0,60,5,1,0
expressionism,7,38,2,722,16,27,8,43,2,1,2,63,35,4,0,8,15,32,2,12,1,127,22,1,35,90,2,2,2,71,55,13
contemporary realism,2,3,3,14,63,3,1,2,0,1,1,1,4,2,0,2,0,1,1,2,0,9,11,0,5,19,3,0,0,2,10,3
neo-expressionism,1,5,0,49,2,48,0,5,0,0,0,3,13,0,0,5,0,11,0,4,3,3,1,0,2,1,0,0,0,6,8,1
magic realism,7,8,1,13,13,2,80,6,0,1,0,5,1,0,1,1,0,1,1,7,1,11,7,0,1,4,1,0,0,9,17,7
cubism,4,0,0,39,1,0,1,192,0,0,0,4,3,0,0,1,1,0,0,1,7,10,0,0,0,1,0,0,0,6,15,0
northern renaissance,0,6,19,3,0,0,1,0,290,15,0,8,0,45,0,0,0,0,2,0,0,1,15,0,1,5,0,0,14,6,3,6
early renaissance,0,1,7,1,0,0,0,1,12,142,0,5,0,36,1,0,0,1,0,0,0,0,2,0,0,4,0,1,3,0,1,1
minimalism,0,0,1,0,0,0,0,0,0,0,149,0,6,0,0,1,0,6,0,0,4,0,0,19,1,0,0,0,0,0,0,0
symbolism,1,32,4,42,7,1,1,8,5,2,0,308,3,5,6,0,0,3,2,0,0,20,47,1,29,56,7,0,2,10,30,6
art informel,0,1,0,23,2,9,0,3,0,0,9,2,97,0,0,9,1,57,0,6,5,0,0,3,1,1,0,1,0,2,6,1
high renaissance,0,1,5,2,0,0,0,0,11,21,1,2,0,157,0,0,0,1,1,0,0,0,3,0,0,3,1,0,14,1,0,0
rococo,0,0,52,0,0,0,0,0,0,1,0,2,0,4,249,0,0,0,15,0,0,0,90,0,0,20,0,0,3,1,0,0
lyrical abstraction,0,3,0,2,0,6,0,5,0,0,3,2,15,0,0,51,0,20,0,3,1,1,0,3,1,0,0,0,0,0,1,1
fauvism,0,0,0,40,0,0,0,3,0,0,0,2,3,0,0,0,26,4,0,0,1,22,0,0,3,0,0,0,0,8,1,0
abstract expressionism,1,4,0,38,1,17,1,14,0,1,11,7,86,0,0,23,1,258,0,10,25,5,1,19,3,1,0,1,0,4,16,2
neoclassicism,4,7,30,7,3,0,0,0,7,0,0,1,0,11,42,0,0,0,237,0,0,2,85,0,0,20,25,0,4,1,4,0
pop art,4,12,1,23,5,13,1,4,0,0,4,1,5,0,0,5,0,8,0,108,5,1,1,1,0,0,0,0,0,9,12,0
abstract art,1,2,0,17,0,2,1,42,0,0,10,5,26,0,0,4,1,24,0,10,92,2,0,17,0,1,0,0,0,3,6,0
post-impressionism,2,22,3,120,9,6,1,11,3,0,0,28,10,4,0,1,7,5,2,0,0,481,19,0,221,83,2,2,0,24,6,11
romanticism,2,28,53,16,11,5,2,0,14,5,0,43,3,10,48,0,0,3,16,0,0,7,963,0,49,240,38,3,12,10,6,8
color field painting,0,0,0,0,2,1,0,1,0,0,21,1,5,0,0,2,0,12,0,0,12,1,0,152,0,0,0,0,0,0,1,0
impressionism,0,12,7,36,13,2,1,0,4,1,0,49,6,3,4,4,1,6,0,0,0,215,100,1,1514,296,6,1,0,9,2,14
realism,3,35,54,44,17,1,3,2,7,3,0,55,7,16,24,3,0,1,10,0,0,80,255,0,219,1088,39,1,13,13,7,20
academicism,1,2,14,0,0,0,0,0,4,3,0,3,0,4,5,0,0,0,4,0,0,0,48,0,2,23,50,0,2,0,2,1
ukiyo-e,0,10,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,1,0,185,0,1,4,0
mannerism (late renaissance),1,0,28,2,0,0,1,0,16,7,0,6,0,64,2,0,0,0,0,0,0,1,13,0,0,8,0,0,114,0,1,0
naïve art (primitivism),2,20,2,57,7,2,3,7,3,2,0,8,6,0,1,2,1,6,1,7,1,23,7,1,2,5,0,2,0,273,27,7
surrealism,9,22,5,61,16,13,6,51,7,2,4,31,19,1,1,6,0,14,8,16,10,11,14,1,2,8,1,1,1,51,409,3
neo-romanticism,2,10,0,4,1,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,0,6,5,0,2,6,0,0,0,1,1,52
