,precisions,recalls,f1
art deco,0.5801526717557252,0.6551724137931034,0.6153846153846154
art nouveau (modern),0.604306864064603,0.539015606242497,0.5697969543147209
baroque,0.6289308176100629,0.5952380952380952,0.6116207951070336
expressionism,0.5048951048951049,0.4945205479452055,0.4996539792387544
contemporary realism,0.3197969543147208,0.375,0.3452054794520549
neo-expressionism,0.294478527607362,0.2807017543859649,0.28742514970059874
magic realism,0.6896551724137931,0.3883495145631068,0.49689440993788825
cubism,0.4729064039408867,0.6713286713286714,0.5549132947976879
northern renaissance,0.7055961070559611,0.6590909090909091,0.6815511163337251
early renaissance,0.6513761467889908,0.6484018264840182,0.6498855835240275
minimalism,0.6930232558139535,0.7967914438502673,0.7412935323383086
symbolism,0.41904761904761906,0.4827586206896552,0.4486525855790241
art informel,0.27170868347338933,0.40585774058577406,0.32550335570469796
high renaissance,0.3801452784503632,0.7008928571428571,0.4929356357927786
rococo,0.5697940503432495,0.5697940503432495,0.5697940503432495
lyrical abstraction,0.3984375,0.4322033898305085,0.41463414634146345
fauvism,0.4727272727272727,0.23008849557522124,0.30952380952380953
abstract expressionism,0.5352697095435685,0.4690909090909091,0.5
neoclassicism,0.7645161290322581,0.48367346938775513,0.5925
pop art,0.5373134328358209,0.484304932735426,0.5094339622641509
abstract art,0.5380116959064327,0.3458646616541353,0.42105263157894735
post-impressionism,0.4441366574330563,0.4441366574330563,0.44413665743305636
romanticism,0.5302863436123348,0.6037617554858934,0.5646437994722955
color field painting,0.6909090909090909,0.7203791469194313,0.7053364269141532
impressionism,0.7151629664619745,0.6562635457303858,0.6844484629294756
realism,0.5200764818355641,0.5386138613861386,0.5291828793774319
academicism,0.273224043715847,0.2976190476190476,0.2849002849002849
ukiyo-e,0.8767772511848341,0.8767772511848341,0.876777251184834
mannerism (late renaissance),0.46530612244897956,0.4318181818181818,0.44793713163064836
naïve art (primitivism),0.4945652173913043,0.5628865979381443,0.5265188042430086
surrealism,0.6095380029806259,0.5087064676616916,0.5545762711864408
neo-romanticism,0.31137724550898205,0.5252525252525253,0.3909774436090226
