,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,75,9,1,5,2,0,0,2,0,0,0,1,0,0,1,0,0,0,1,2,0,3,0,0,0,2,0,1,0,4,6,1
art nouveau (modern),3,530,4,49,7,2,1,0,3,4,0,52,6,1,2,0,1,4,2,4,1,17,26,0,30,55,3,4,0,12,7,3
baroque,0,3,635,0,2,0,0,0,10,4,0,3,0,3,73,0,0,0,5,0,0,0,41,0,2,31,4,0,18,5,1,0
expressionism,4,60,3,830,22,22,3,31,1,2,0,38,22,0,1,10,12,29,3,3,3,116,25,0,48,72,0,2,3,39,52,4
contemporary realism,0,3,1,14,79,4,4,1,0,0,0,6,0,0,2,0,2,3,4,2,0,4,10,0,9,8,2,0,0,0,10,0
neo-expressionism,1,7,0,41,1,59,0,3,1,0,0,2,6,0,0,3,1,18,0,5,2,3,1,1,2,1,0,0,0,5,8,0
magic realism,1,11,2,17,11,1,90,0,2,2,0,4,1,0,0,0,0,2,3,4,0,10,7,0,2,4,1,1,0,12,17,1
cubism,2,4,0,46,0,1,0,174,0,0,1,1,4,0,0,0,3,1,0,3,8,14,0,0,2,0,0,1,0,5,16,0
northern renaissance,0,6,45,8,0,0,1,0,312,9,0,8,0,6,2,0,0,0,3,0,0,0,15,0,0,4,1,0,14,4,1,1
early renaissance,0,2,9,2,1,0,0,1,16,157,0,4,0,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,1,1
minimalism,0,0,0,0,0,1,0,0,0,0,144,0,13,0,0,2,0,4,0,1,4,0,0,18,0,0,0,0,0,0,0,0
symbolism,1,41,12,46,8,1,1,4,3,0,0,316,2,0,12,1,0,1,2,1,0,16,49,0,42,50,2,0,2,5,19,1
art informel,0,2,1,20,2,5,0,3,0,1,6,2,111,0,0,13,1,51,1,1,5,0,1,3,0,0,0,0,0,1,9,0
high renaissance,0,1,27,2,0,0,0,0,26,22,0,1,0,104,3,0,0,2,2,0,0,1,5,0,0,6,0,0,21,0,0,1
rococo,0,0,48,0,1,0,0,0,1,1,0,1,0,0,332,0,0,0,8,0,0,0,31,0,0,8,2,0,2,1,1,0
lyrical abstraction,1,2,1,4,0,2,0,3,0,0,0,2,14,0,0,55,2,20,0,1,1,0,0,4,1,1,0,0,0,0,3,1
fauvism,0,4,0,44,0,2,0,4,0,0,0,1,4,0,0,0,21,2,0,0,1,23,0,0,3,0,0,0,0,3,1,0
abstract expressionism,1,3,1,36,2,15,0,7,0,1,5,4,88,0,0,22,1,288,0,10,26,1,0,14,5,2,1,0,0,0,16,1
neoclassicism,1,16,35,6,1,0,0,0,2,1,0,7,0,3,67,0,0,0,227,0,0,1,85,0,1,13,16,0,2,3,2,1
pop art,4,8,1,19,6,8,2,3,0,0,4,1,12,0,0,3,3,7,0,110,4,1,1,1,2,0,1,0,0,10,12,0
abstract art,0,2,0,16,0,3,0,36,0,0,7,3,24,0,0,6,4,30,1,2,99,2,1,10,0,0,0,0,0,3,17,0
post-impressionism,1,38,3,141,5,1,4,5,1,5,0,27,3,1,2,2,4,7,1,1,0,440,22,0,265,75,0,1,0,22,5,1
romanticism,0,40,89,20,4,0,1,0,16,5,0,25,2,1,106,1,0,1,14,0,0,3,1008,0,49,167,23,0,7,6,5,2
color field painting,0,0,0,2,2,0,0,1,0,0,23,0,10,0,0,2,0,18,0,0,9,0,0,144,0,0,0,0,0,0,0,0
impressionism,0,18,10,49,6,0,0,1,1,0,0,32,2,0,7,2,0,4,1,0,0,157,121,0,1662,222,4,2,1,5,0,0
realism,1,41,72,47,29,1,2,4,5,1,0,47,1,0,35,0,0,1,9,3,0,64,322,0,248,1034,31,2,7,9,3,1
academicism,0,3,20,0,0,0,1,0,1,0,0,5,0,2,12,0,0,0,7,0,0,0,40,0,5,19,50,0,0,1,2,0
ukiyo-e,0,15,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,183,0,1,5,0
mannerism (late renaissance),0,0,53,0,0,0,0,0,11,4,0,4,0,8,8,0,0,0,1,0,0,0,10,0,0,6,2,0,157,0,0,0
naïve art (primitivism),1,22,4,63,4,7,2,5,0,1,0,5,5,1,3,0,1,7,2,3,2,21,7,0,6,6,0,1,0,277,29,0
surrealism,1,29,6,84,18,11,12,34,6,5,1,22,9,1,2,4,3,17,9,12,6,9,21,1,4,7,1,0,1,27,436,5
neo-romanticism,0,15,1,3,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,3,7,0,4,5,0,0,0,1,1,50
