,precisions,recalls,f1
art deco,0.7653061224489796,0.646551724137931,0.7009345794392522
art nouveau (modern),0.5668449197860963,0.6362545018007203,0.5995475113122173
baroque,0.5857933579335793,0.7559523809523809,0.66008316008316
expressionism,0.5136138613861386,0.5684931506849316,0.539661898569571
contemporary realism,0.3674418604651163,0.47023809523809523,0.412532637075718
neo-expressionism,0.4041095890410959,0.34502923976608185,0.37223974763406936
magic realism,0.7258064516129032,0.4368932038834951,0.5454545454545454
cubism,0.5386996904024768,0.6083916083916084,0.5714285714285715
northern renaissance,0.7446300715990454,0.7090909090909091,0.7264260768335273
early renaissance,0.6977777777777778,0.7168949771689498,0.7072072072072072
minimalism,0.7539267015706806,0.7700534759358288,0.761904761904762
symbolism,0.5007923930269413,0.4952978056426332,0.4980299448384555
art informel,0.3264705882352941,0.46443514644351463,0.38341968911917096
high renaissance,0.7123287671232876,0.4642857142857143,0.5621621621621622
rococo,0.4955223880597015,0.7597254004576659,0.5998193315266487
lyrical abstraction,0.4365079365079365,0.4661016949152542,0.45081967213114754
fauvism,0.3559322033898305,0.18584070796460178,0.24418604651162792
abstract expressionism,0.5570599613152805,0.5236363636363637,0.5398313027179007
neoclassicism,0.7418300653594772,0.463265306122449,0.5703517587939698
pop art,0.650887573964497,0.49327354260089684,0.5612244897959184
abstract art,0.5755813953488372,0.37218045112781956,0.4520547945205479
post-impressionism,0.48404840484048406,0.40627885503231764,0.44176706827309237
romanticism,0.5428109854604201,0.631974921630094,0.5840092699884125
color field painting,0.7346938775510204,0.6824644549763034,0.7076167076167076
impressionism,0.6945256999582115,0.7204161248374512,0.7072340425531914
realism,0.575083426028921,0.5118811881188119,0.5416448402304872
academicism,0.3472222222222222,0.2976190476190476,0.32051282051282054
ukiyo-e,0.9242424242424242,0.8672985781990521,0.8948655256723715
mannerism (late renaissance),0.6487603305785123,0.5946969696969697,0.6205533596837944
naïve art (primitivism),0.5995670995670995,0.5711340206185567,0.5850052798310453
surrealism,0.6364963503649635,0.5422885572139303,0.5856279382135662
neo-romanticism,0.6666666666666666,0.5050505050505051,0.574712643678161
