,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism
art deco,296,1,4,2,10,15,6,17,5,7,0,8,3,25,20,7,7,1
art nouveau (modern),0,305,0,0,4,2,3,1,19,0,0,0,0,0,3,1,0,13
baroque,1,5,169,0,7,5,12,19,4,1,6,3,2,11,10,15,7,0
expressionism,8,0,1,193,7,2,1,3,1,48,0,2,2,0,8,0,1,1
contemporary realism,89,39,56,37,1087,41,19,87,93,164,8,56,175,123,77,54,132,92
neo-expressionism,9,6,8,9,23,188,15,59,17,7,4,25,19,28,8,22,8,16
magic realism,5,18,5,1,1,28,1230,171,16,0,6,19,1,1,14,38,3,10
cubism,20,4,8,11,10,29,85,224,8,11,7,17,5,3,9,27,7,7
northern renaissance,4,195,23,2,35,30,43,24,1928,1,21,16,6,22,61,15,18,310
early renaissance,55,0,3,591,156,42,15,47,1,1851,9,29,147,42,56,34,27,5
minimalism,0,0,4,0,0,4,11,3,8,0,225,1,0,1,0,15,1,1
symbolism,2,0,4,0,2,7,10,28,8,4,8,271,4,10,14,1,25,14
art informel,22,3,5,17,44,26,10,25,14,29,1,15,801,163,38,9,61,7
high renaissance,21,2,5,4,8,11,0,7,11,5,0,7,40,193,6,2,19,1
rococo,34,9,15,37,17,14,11,22,26,28,10,17,9,17,491,12,29,16
lyrical abstraction,2,1,2,3,4,8,14,30,3,1,39,2,2,1,4,397,1,3
fauvism,4,0,9,10,28,25,9,22,6,7,1,51,23,23,29,7,441,13
abstract expressionism,2,31,0,0,13,6,9,9,69,1,0,23,3,0,13,2,7,763
