,precisions,recalls,f1
nude painting (nu),0.5156794425087108,0.6820276497695853,0.5873015873015873
marina,0.4927302100161551,0.8689458689458689,0.6288659793814433
animal painting,0.5264797507788161,0.6101083032490975,0.5652173913043478
self-portrait,0.21046892039258452,0.6942446043165468,0.32301255230125525
genre painting,0.7465659340659341,0.44750926307122274,0.5595881595881597
symbolic painting,0.38923395445134573,0.3991507430997877,0.39412997903563934
abstract,0.8183632734530938,0.7849393746011487,0.8013029315960911
figurative,0.2807017543859649,0.45528455284552843,0.34728682170542635
landscape,0.861868573983013,0.7000726216412491,0.7725906631937487
portrait,0.8549653579676675,0.5951768488745981,0.7018009478672986
flower painting,0.6521739130434783,0.8211678832116789,0.7269789983844911
design,0.4822064056939502,0.6577669902912622,0.5564681724845996
religious painting,0.644927536231884,0.6209302325581395,0.6327014218009478
mythological painting,0.2911010558069382,0.564327485380117,0.3840796019900497
sketch and study,0.570267131242741,0.6031941031941032,0.5862686567164178
still life,0.6033434650455927,0.7678916827852998,0.6757446808510639
illustration,0.5554156171284634,0.6228813559322034,0.5872170439414115
cityscape,0.5993715632364494,0.8023133543638276,0.6861510791366906
