,precisions,recalls,f1
nude painting (nu),0.5137457044673539,0.6889400921658986,0.5885826771653543
marina,0.505922165820643,0.8518518518518519,0.6348195329087049
animal painting,0.5276073619631901,0.6209386281588448,0.570480928689884
self-portrait,0.2041522491349481,0.6366906474820144,0.3091703056768559
genre painting,0.7337704918032787,0.46068340881020997,0.5660091047040972
symbolic painting,0.380859375,0.4140127388535032,0.3967446592065107
abstract,0.8186109238031019,0.774728781110402,0.7960655737704918
figurative,0.2695547533092659,0.45528455284552843,0.3386243386243386
landscape,0.8729802513464991,0.7062454611474219,0.7808109193095143
portrait,0.8558310376492194,0.5993569131832798,0.7049924357034795
flower painting,0.646551724137931,0.8211678832116789,0.7234726688102895
design,0.46875,0.6553398058252428,0.5465587044534413
religious painting,0.6559139784946236,0.6147286821705427,0.6346538615446179
mythological painting,0.29457364341085274,0.5555555555555556,0.3850050658561297
sketch and study,0.5731559854897219,0.5823095823095823,0.5776965265082267
still life,0.6043276661514683,0.7562862669245648,0.6718213058419243
illustration,0.5404101326899879,0.632768361581921,0.58295380611581
cityscape,0.5974743488555643,0.7960042060988434,0.6825969341749323
