index_name,nude painting (nu),marina,animal painting,self-portrait,genre painting,symbolic painting,abstract,figurative,landscape,portrait,flower painting,design,religious painting,mythological painting,sketch and study,still life,illustration,cityscape
nude painting (nu),282,1,5,1,16,13,10,21,2,8,1,3,1,40,16,5,9,0
marina,0,296,3,0,5,2,2,3,15,0,1,1,0,1,2,0,2,18
animal painting,3,3,177,0,16,11,10,11,4,1,4,0,3,7,4,15,8,0
self-portrait,5,0,0,186,9,3,3,6,1,45,0,1,2,0,13,1,3,0
genre painting,62,32,57,29,1220,78,25,79,96,162,12,29,101,126,65,39,125,92
symbolic painting,11,5,21,7,20,225,17,44,14,8,3,22,10,26,5,12,11,10
abstract,4,17,24,0,4,17,1295,123,14,0,17,10,0,0,11,23,4,4
figurative,12,2,16,4,15,28,89,242,6,13,9,10,0,0,15,19,7,5
landscape,6,175,26,2,51,45,57,34,1946,0,25,8,7,10,32,23,20,287
portrait,44,1,5,560,210,49,21,63,1,1866,9,20,68,61,72,25,35,0
flower painting,0,0,4,0,2,3,12,2,3,0,229,0,0,0,0,17,1,1
design,5,0,0,0,5,18,14,21,5,5,5,270,2,6,12,2,27,15
religious painting,17,1,5,17,63,40,12,17,10,52,3,10,739,211,29,3,55,6
mythological painting,15,1,10,4,19,24,1,3,8,8,0,5,27,194,7,1,14,1
sketch and study,37,6,19,26,26,7,11,18,35,27,11,19,10,15,484,9,36,18
still life,2,0,6,2,10,14,26,18,1,4,39,3,3,1,3,382,1,2
illustration,3,3,15,3,33,19,10,17,7,5,0,38,19,30,23,4,472,7
cityscape,2,22,4,0,17,11,12,15,66,1,2,14,1,0,4,7,6,767
