index_name,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,86,3,0,1,0,1,5,1,0,0,0,0,1,0,0,0,0,0,2,2,0,2,0,0,0,0,1,1,0,4,6,0
art nouveau (modern),26,430,2,29,14,3,13,2,9,6,0,45,6,1,3,2,7,7,9,6,5,41,11,1,11,26,26,18,1,26,28,19
baroque,1,7,338,1,8,0,1,0,42,10,0,11,0,19,192,0,0,0,29,0,0,4,22,0,1,41,32,0,63,11,7,0
expressionism,26,50,2,426,77,75,35,41,5,1,1,42,30,3,3,20,111,33,10,12,19,167,7,2,33,53,8,7,1,61,77,22
contemporary realism,3,0,2,4,81,4,6,1,0,1,1,5,1,1,2,1,1,1,2,3,0,6,1,1,2,12,8,0,0,5,9,4
neo-expressionism,0,5,0,14,9,69,2,2,1,0,1,0,8,0,0,8,5,13,0,7,5,3,0,2,0,1,0,1,0,5,10,0
magic realism,9,6,2,7,28,5,100,0,1,1,0,4,1,0,0,0,1,2,0,3,0,5,2,0,0,0,4,2,0,10,11,2
cubism,9,2,0,18,1,2,2,168,0,0,0,4,6,0,1,1,10,0,0,4,29,9,0,0,0,0,0,0,0,5,14,1
northern renaissance,0,3,7,1,0,1,1,0,326,13,0,5,0,30,7,0,0,0,7,0,0,0,4,0,1,7,5,1,10,5,5,1
early renaissance,0,0,1,0,0,1,0,0,20,142,0,5,0,33,2,1,0,0,2,1,0,0,1,0,0,1,1,1,4,0,2,1
minimalism,0,0,0,0,3,0,0,0,0,0,143,0,5,0,0,1,0,0,0,0,5,0,0,29,0,0,0,0,0,0,1,0
symbolism,9,36,6,27,23,2,8,3,10,4,2,262,4,1,12,6,6,2,9,1,0,22,19,2,17,43,25,2,4,7,50,14
art informel,0,2,0,5,1,11,0,1,0,0,15,0,99,0,0,27,6,41,0,0,14,0,0,6,1,1,0,1,0,0,8,0
high renaissance,0,1,8,0,1,0,0,0,19,21,1,1,1,137,4,0,0,0,2,0,1,0,0,0,0,2,5,0,14,3,2,1
rococo,1,1,15,0,3,0,1,0,4,2,0,0,0,4,345,0,0,0,22,0,0,0,8,0,0,10,14,0,1,4,2,0
lyrical abstraction,1,2,0,2,2,4,0,4,0,0,2,0,10,0,0,53,2,19,0,1,3,0,0,13,0,0,0,0,0,0,0,0
fauvism,0,1,0,11,0,1,0,3,0,0,0,1,2,0,0,0,51,6,0,0,1,20,0,1,2,0,1,0,0,10,2,0
abstract expressionism,1,2,0,9,6,29,2,3,0,0,20,2,124,0,0,52,7,176,0,10,39,4,1,37,3,2,0,1,0,3,14,3
neoclassicism,6,6,14,3,8,1,0,0,5,1,0,0,0,3,87,0,0,0,267,1,0,0,15,0,2,10,48,0,3,3,6,1
pop art,2,7,0,8,3,19,2,1,0,1,2,4,6,0,0,3,3,10,0,109,17,0,0,3,0,1,0,1,0,13,8,0
abstract art,0,0,0,5,4,4,2,13,0,0,11,1,25,0,0,7,2,12,0,8,145,0,1,14,1,0,0,1,0,1,8,1
post-impressionism,1,38,2,73,22,5,13,8,4,2,0,23,9,0,3,3,97,6,7,0,0,478,4,0,156,63,13,4,0,29,7,13
romanticism,5,30,43,17,34,1,18,0,36,5,0,55,1,9,213,2,0,1,56,0,0,19,535,1,66,208,168,1,15,22,19,15
color field painting,0,0,0,0,4,0,0,0,0,1,18,1,3,0,0,7,0,2,0,0,10,0,0,164,0,0,0,0,0,1,0,0
impressionism,3,27,7,32,36,1,8,2,3,0,1,60,8,2,18,6,38,3,2,1,1,404,44,0,1253,244,64,1,3,15,6,14
realism,7,48,49,38,78,3,25,1,21,3,0,52,3,3,84,4,1,0,30,2,1,141,124,0,210,852,157,1,7,32,17,26
academicism,2,1,0,0,5,0,1,0,2,2,0,4,0,1,19,0,0,1,13,0,0,0,2,0,1,9,102,0,1,1,1,0
ukiyo-e,1,5,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,193,0,1,3,1
mannerism (late renaissance),0,0,12,0,3,0,1,0,18,7,0,9,0,33,13,0,0,0,6,0,0,0,0,0,0,4,8,0,145,2,3,0
naïve art (primitivism),4,12,1,28,5,11,10,3,2,1,0,5,5,1,3,2,11,4,2,7,5,18,2,0,1,4,1,4,0,301,24,8
surrealism,13,16,1,36,30,19,39,35,9,3,0,19,12,2,1,5,9,15,9,15,40,2,10,3,1,4,6,1,0,49,394,6
neo-romanticism,2,11,1,2,6,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,6,1,4,4,1,0,0,1,0,52
