,precisions,recalls,f1
nude painting (nu),0.5529411764705883,0.6497695852534562,0.5974576271186441
marina,0.5238938053097345,0.8433048433048433,0.646288209606987
animal painting,0.44584382871536526,0.6389891696750902,0.5252225519287834
self-portrait,0.2211652794292509,0.6690647482014388,0.3324396782841823
genre painting,0.7007466973004021,0.5022643062988884,0.5851318944844124
symbolic painting,0.37067545304777594,0.47770700636942676,0.4174397031539889
abstract,0.7959434542102028,0.8264199106573069,0.8108954289292423
figurative,0.3283582089552239,0.491869918699187,0.3938161106590724
landscape,0.8710832587287377,0.7066085693536674,0.7802726543704892
portrait,0.8462585034013606,0.6,0.7021636876763876
flower painting,0.6189189189189189,0.8357664233576643,0.7111801242236027
design,0.5831533477321814,0.6553398058252428,0.6171428571428571
religious painting,0.7442094662638469,0.5728682170542636,0.6473937801138853
mythological painting,0.2664835164835165,0.5672514619883041,0.3626168224299065
sketch and study,0.6072772898368883,0.5945945945945946,0.6008690254500311
still life,0.6507666098807495,0.7388781431334622,0.6920289855072463
illustration,0.5645933014354066,0.6666666666666666,0.6113989637305699
cityscape,0.6220600162206001,0.8065194532071503,0.7023809523809523
