,precisions,recalls,f1
art deco,0.3944954128440367,0.7413793103448276,0.5149700598802396
art nouveau (modern),0.5718085106382979,0.5162064825930373,0.5425867507886435
baroque,0.6588693957115009,0.4023809523809524,0.499630450849963
expressionism,0.5338345864661654,0.29178082191780824,0.3773250664304694
contemporary realism,0.16363636363636364,0.48214285714285715,0.24434389140271492
neo-expressionism,0.2536764705882353,0.40350877192982454,0.31151241534988716
magic realism,0.3367003367003367,0.4854368932038835,0.3976143141153081
cubism,0.5753424657534246,0.5874125874125874,0.5813148788927335
northern renaissance,0.6059479553903345,0.740909090909091,0.6666666666666666
early renaissance,0.6255506607929515,0.6484018264840182,0.6367713004484304
minimalism,0.6559633027522935,0.7647058823529411,0.7061728395061728
symbolism,0.420545746388443,0.4106583072100313,0.4155432196669309
art informel,0.2661290322580645,0.41422594142259417,0.3240589198036007
high renaissance,0.4840989399293286,0.6116071428571429,0.5404339250493096
rococo,0.3409090909090909,0.7894736842105263,0.4761904761904762
lyrical abstraction,0.25118483412322273,0.4491525423728814,0.3221884498480243
fauvism,0.13858695652173914,0.45132743362831856,0.2120582120582121
abstract expressionism,0.4971751412429379,0.32,0.3893805309734513
neoclassicism,0.5493827160493827,0.5448979591836735,0.5471311475409836
pop art,0.558974358974359,0.48878923766816146,0.521531100478469
abstract art,0.4252199413489736,0.5451127819548872,0.4777594728171335
post-impressionism,0.3545994065281899,0.44136657433056325,0.39325380501851087
romanticism,0.6532356532356532,0.335423197492163,0.44324772162386084
color field painting,0.5857142857142857,0.7772511848341233,0.6680244399185336
impressionism,0.7095130237825594,0.5431296055483311,0.6152712987969555
realism,0.5318352059925093,0.42178217821782177,0.47045831032578683
academicism,0.14613180515759314,0.6071428571428571,0.23556581986143188
ukiyo-e,0.7975206611570248,0.9146919431279621,0.8520971302428256
mannerism (late renaissance),0.5330882352941176,0.5492424242424242,0.541044776119403
naïve art (primitivism),0.4777777777777778,0.6206185567010309,0.5399103139013454
surrealism,0.5295698924731183,0.4900497512437811,0.5090439276485788
neo-romanticism,0.25365853658536586,0.5252525252525253,0.34210526315789475
