,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,89,2,1,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,1,2,3,2,0,0,0,1,2,1,0,1,2,2
art nouveau (modern),29,419,7,34,14,4,7,0,12,2,2,58,4,1,0,1,7,5,6,11,8,33,14,0,20,35,26,31,0,18,17,8
baroque,1,4,544,0,0,0,0,1,30,7,0,8,0,32,40,0,0,0,15,0,0,2,26,0,0,21,28,0,71,4,3,3
expressionism,25,77,7,342,37,91,18,60,11,3,2,43,18,1,0,20,163,31,16,20,33,121,13,2,44,69,10,9,7,52,70,45
contemporary realism,2,1,7,3,69,6,7,0,1,1,1,3,2,0,0,1,3,0,2,2,3,3,5,0,4,12,10,1,2,7,6,4
neo-expressionism,1,5,0,9,5,74,1,0,1,0,1,2,8,0,1,5,9,13,1,12,5,4,0,1,1,1,0,1,0,4,4,2
magic realism,11,8,2,2,10,4,97,1,5,1,0,5,1,1,0,0,2,0,3,2,1,6,4,0,2,1,4,3,2,13,10,5
cubism,5,0,0,3,0,1,6,165,0,0,0,2,3,0,0,0,12,2,0,4,55,4,0,0,0,0,0,3,1,5,10,5
northern renaissance,1,3,18,0,0,1,0,0,310,15,0,7,0,31,0,0,0,0,8,0,0,1,3,0,1,4,4,4,22,2,3,2
early renaissance,0,3,3,0,0,0,0,0,21,130,1,6,0,41,0,0,0,1,2,0,0,1,0,0,0,3,2,0,4,0,1,0
minimalism,0,0,0,1,1,0,0,0,1,0,138,0,1,0,0,1,0,3,0,1,5,0,0,34,0,1,0,0,0,0,0,0
symbolism,3,42,13,18,11,1,2,7,17,2,0,284,4,5,1,1,11,1,3,0,1,15,25,0,20,56,25,2,7,9,38,14
art informel,0,2,0,14,2,3,0,1,1,0,14,0,79,1,0,15,13,35,0,11,31,0,0,5,0,1,0,1,0,3,7,0
high renaissance,1,2,15,0,0,0,0,0,18,14,1,1,0,145,1,0,0,0,3,0,0,0,0,0,0,2,3,0,16,1,1,0
rococo,0,3,90,1,0,1,0,0,4,1,0,3,0,6,237,0,0,0,27,0,0,0,16,0,0,7,30,0,9,2,0,0
lyrical abstraction,0,1,0,1,2,4,0,3,0,0,1,2,11,0,0,52,5,15,0,4,7,0,0,7,0,0,0,0,0,0,3,0
fauvism,0,1,0,6,0,2,2,2,0,0,0,1,2,0,0,0,66,1,0,1,0,17,0,1,4,0,0,1,0,5,0,1
abstract expressionism,2,3,0,11,4,24,4,5,0,1,17,4,69,0,0,33,17,212,0,25,68,3,0,26,2,4,0,1,0,4,9,2
neoclassicism,5,6,50,3,0,0,0,0,9,0,0,2,0,9,39,0,0,0,259,0,0,1,20,0,2,7,68,1,4,1,4,0
pop art,3,4,1,2,7,6,3,1,2,0,5,0,3,0,0,1,6,6,0,129,17,0,0,4,0,1,2,1,1,7,10,1
abstract art,0,0,0,3,1,4,4,7,0,0,12,0,14,0,0,6,5,17,0,13,158,0,0,14,3,0,0,0,0,1,3,1
post-impressionism,5,37,4,62,13,10,3,11,3,5,0,32,4,4,1,3,102,5,5,2,1,409,11,0,202,64,11,3,2,34,7,28
romanticism,4,31,125,18,18,0,3,0,29,5,0,38,3,14,90,1,0,1,45,0,0,6,651,0,63,174,213,3,21,14,13,12
color field painting,0,0,0,0,6,0,0,0,0,0,16,0,3,0,0,1,0,7,0,1,10,0,0,167,0,0,0,0,0,0,0,0
impressionism,0,26,11,30,32,5,2,0,2,0,1,68,7,6,5,4,33,5,0,0,0,256,82,1,1349,271,72,2,3,10,0,24
realism,2,47,110,24,54,1,5,0,27,1,0,60,3,9,17,2,2,2,25,2,1,83,197,0,186,840,225,6,24,28,12,25
academicism,0,1,18,0,0,0,0,0,5,2,0,4,0,0,4,0,0,0,3,0,0,1,9,0,1,8,105,0,5,0,2,0
ukiyo-e,1,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,197,0,2,2,0
mannerism (late renaissance),1,0,27,0,0,0,0,0,13,6,0,2,0,42,1,0,0,0,1,0,0,0,4,0,0,2,10,0,153,1,0,1
naïve art (primitivism),9,16,3,22,3,7,14,11,5,0,0,7,6,1,0,1,15,4,2,18,10,15,1,0,3,8,1,7,1,265,23,7
surrealism,12,15,5,23,17,20,37,32,14,1,1,19,11,4,0,6,9,16,11,34,59,4,15,1,2,7,9,7,4,42,362,5
neo-romanticism,1,14,1,1,3,0,2,0,2,0,0,3,0,0,0,0,1,0,0,0,0,2,3,0,1,6,1,0,0,1,2,55
