,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,89,5,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,3,0,2,1,2
art nouveau (modern),28,436,5,24,17,4,5,0,13,3,2,54,5,1,0,0,9,5,6,9,5,37,17,1,15,37,29,25,3,18,11,9
baroque,1,4,532,0,0,0,0,1,30,7,0,7,0,33,36,0,0,0,17,0,0,0,24,0,0,23,38,0,78,4,3,2
expressionism,30,87,7,316,49,88,21,43,9,2,2,45,23,3,0,13,163,24,17,19,28,120,17,2,55,75,9,10,8,62,63,50
contemporary realism,4,1,4,2,76,6,8,1,1,0,1,1,1,1,0,1,1,0,1,1,2,3,5,0,4,13,12,0,2,3,8,5
neo-expressionism,1,4,0,10,9,71,1,1,1,0,1,2,6,0,1,4,8,11,1,10,7,4,3,1,1,1,0,2,0,7,3,0
magic realism,9,8,3,3,14,2,93,1,7,1,0,4,0,0,0,1,3,1,5,2,0,8,4,0,1,1,6,2,3,14,8,2
cubism,10,1,0,6,1,0,5,168,0,1,0,1,4,0,0,0,12,0,0,4,42,7,0,0,0,0,0,3,1,4,11,5
northern renaissance,0,8,8,0,0,0,0,0,315,12,0,5,1,41,1,0,0,0,5,0,0,0,5,0,1,3,4,3,20,3,4,1
early renaissance,0,2,2,0,0,0,0,0,19,128,1,5,0,50,0,0,0,1,1,0,0,0,0,0,1,3,1,0,3,0,1,1
minimalism,0,0,0,0,0,1,0,0,1,0,140,0,1,0,0,0,0,3,0,0,5,0,0,35,0,1,0,0,0,0,0,0
symbolism,6,44,14,21,9,0,6,6,16,2,0,281,3,6,1,3,12,0,2,1,1,18,26,2,18,51,35,1,9,12,27,5
art informel,0,2,0,8,3,4,1,1,1,0,15,1,69,0,0,17,14,38,1,14,30,0,0,6,2,2,0,0,0,3,7,0
high renaissance,1,3,14,0,0,0,0,0,17,12,1,0,0,152,0,0,0,1,2,0,0,0,0,0,0,1,4,0,14,0,1,1
rococo,0,1,107,1,1,0,0,0,2,2,0,1,0,4,221,0,0,0,22,0,0,0,16,0,0,8,41,1,6,3,0,0
lyrical abstraction,1,1,0,0,1,4,0,1,0,0,3,3,7,0,0,53,3,18,0,6,7,1,0,8,0,0,0,0,0,0,1,0
fauvism,0,1,0,4,0,1,1,0,0,0,0,2,2,0,0,0,68,2,0,1,0,15,0,1,7,0,0,0,0,5,1,2
abstract expressionism,1,3,0,12,6,28,5,4,0,1,21,6,58,0,0,37,14,209,0,25,66,2,0,29,3,3,0,1,0,6,7,3
neoclassicism,5,7,53,1,0,0,1,0,10,0,0,1,0,11,31,0,0,0,249,0,0,1,26,0,2,8,73,1,4,2,3,1
pop art,8,8,2,2,7,8,3,2,3,0,4,0,4,0,0,2,10,4,0,117,17,0,0,5,0,1,2,1,1,5,6,1
abstract art,2,0,0,4,3,2,2,12,0,0,12,1,14,0,0,7,6,16,0,11,146,0,0,18,1,1,0,1,0,2,5,0
post-impressionism,7,57,1,62,14,5,3,10,3,4,0,36,5,5,0,3,101,4,3,1,1,386,6,0,212,77,14,4,1,30,5,23
romanticism,3,30,130,13,16,0,3,0,28,5,0,42,4,16,75,1,1,2,41,0,0,6,642,0,63,189,225,2,24,14,10,10
color field painting,0,0,0,0,4,0,0,0,0,1,19,0,2,0,0,2,0,6,0,3,9,0,0,165,0,0,0,0,0,0,0,0
impressionism,2,28,17,25,42,3,3,1,3,1,1,75,13,5,2,7,29,4,1,0,0,224,76,1,1362,279,64,1,4,8,1,25
realism,3,45,123,17,53,1,5,0,28,3,0,70,4,4,15,2,2,1,17,1,1,78,176,0,183,860,241,7,24,26,10,20
academicism,2,0,14,0,1,0,1,0,6,3,0,2,0,0,2,0,0,0,4,0,0,0,7,0,2,9,109,0,4,0,2,0
ukiyo-e,1,6,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,194,0,1,2,0
mannerism (late renaissance),0,0,23,0,0,0,0,0,8,7,0,2,0,44,4,0,0,0,2,0,0,0,4,0,0,2,9,0,159,0,0,0
naïve art (primitivism),9,17,3,23,4,4,9,7,7,1,0,6,4,2,1,2,10,3,1,15,11,15,1,0,3,6,2,7,1,275,25,11
surrealism,21,21,3,21,23,15,41,35,13,6,1,20,9,2,1,8,7,16,12,28,43,2,16,2,2,11,11,6,5,47,348,8
neo-romanticism,2,10,1,0,4,0,2,0,2,0,0,3,0,2,0,0,0,0,0,0,0,2,5,0,2,6,1,0,0,1,0,56
