,precisions,recalls,f1
art deco,0.3617886178861789,0.7672413793103449,0.4917127071823205
art nouveau (modern),0.5190476190476191,0.5234093637454982,0.521219366407651
baroque,0.4985941893158388,0.6333333333333333,0.5579444153120084
expressionism,0.5467128027681661,0.21643835616438356,0.310107948969578
contemporary realism,0.2122905027932961,0.4523809523809524,0.2889733840304182
neo-expressionism,0.2874493927125506,0.4152046783625731,0.3397129186602871
magic realism,0.42081447963800905,0.45145631067961167,0.43559718969555034
cubism,0.5694915254237288,0.5874125874125874,0.5783132530120483
northern renaissance,0.5790441176470589,0.7159090909090909,0.6402439024390245
early renaissance,0.6336633663366337,0.5844748858447488,0.6080760095011876
minimalism,0.6222222222222222,0.7486631016042781,0.6796116504854369
symbolism,0.4156804733727811,0.44043887147335425,0.42770167427701683
art informel,0.2863070539419087,0.28870292887029286,0.28750000000000003
high renaissance,0.39790575916230364,0.6785714285714286,0.5016501650165017
rococo,0.5652173913043478,0.505720823798627,0.5338164251207729
lyrical abstraction,0.32515337423312884,0.4491525423728814,0.37722419928825623
fauvism,0.14376321353065538,0.6017699115044248,0.23208191126279865
abstract expressionism,0.5663956639566395,0.38,0.4548422198041349
neoclassicism,0.6058394160583942,0.5081632653061224,0.5527192008879024
pop art,0.4349442379182156,0.5246636771300448,0.475609756097561
abstract art,0.34515366430260047,0.5488721804511278,0.42380261248185774
post-impressionism,0.4155005382131324,0.3564173591874423,0.38369781312127227
romanticism,0.5966542750929368,0.4025078369905956,0.4807188318981655
color field painting,0.5978260869565217,0.7819905213270142,0.677618069815195
impressionism,0.702061855670103,0.5903771131339401,0.6413939251236166
realism,0.5146618791143028,0.42574257425742573,0.4659983744242752
academicism,0.11657754010695187,0.6488095238095238,0.19764279238440619
ukiyo-e,0.7054545454545454,0.919431279620853,0.7983539094650204
mannerism (late renaissance),0.42513368983957217,0.6022727272727273,0.4984326018808778
naïve art (primitivism),0.49371633752244165,0.5670103092783505,0.527831094049904
surrealism,0.6062717770034843,0.43283582089552236,0.5050798258345427
neo-romanticism,0.23045267489711935,0.5656565656565656,0.3274853801169591
