,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism
art deco,336,0,2,0,7,6,3,2,1,0,0,4,7,33,24,0,9,0
art nouveau (modern),0,288,2,0,4,4,5,0,24,0,0,1,0,2,6,0,2,13
baroque,2,2,185,0,13,13,8,5,4,0,1,4,6,8,7,7,12,0
expressionism,5,0,1,181,7,3,1,10,0,44,0,3,5,0,17,0,1,0
contemporary realism,97,20,32,29,1132,85,11,62,127,58,2,51,196,99,105,18,223,82
neo-expressionism,10,3,9,4,18,245,16,29,17,5,1,25,18,22,13,11,17,8
magic realism,13,9,17,1,4,30,1302,103,19,0,3,10,2,1,13,25,9,6
cubism,25,2,9,3,10,57,88,172,10,7,2,29,4,3,22,16,24,9
northern renaissance,4,100,13,2,21,54,28,12,2179,0,10,22,9,17,64,8,30,181
early renaissance,63,0,1,526,255,43,11,56,0,1708,3,33,132,43,155,12,68,1
minimalism,0,0,6,0,1,3,10,3,6,0,214,1,0,1,1,26,2,0
symbolism,1,0,1,0,2,11,6,9,9,0,2,303,2,3,18,2,31,12
art informel,17,1,1,10,28,37,6,16,14,8,0,24,883,131,57,1,51,5
high renaissance,10,1,5,2,14,15,1,4,10,3,0,5,38,197,15,0,22,0
rococo,41,4,17,8,21,3,10,10,24,14,2,24,7,14,569,5,27,14
lyrical abstraction,6,2,9,0,7,16,12,20,4,2,31,9,2,1,6,383,3,4
fauvism,4,0,2,3,17,9,6,8,10,4,0,71,15,9,38,2,505,5
abstract expressionism,1,19,0,0,6,13,6,3,105,1,0,22,2,1,10,2,24,736
