,precisions,recalls,f1
nude painting (nu),0.5291338582677165,0.7741935483870968,0.6286248830682881
marina,0.6385809312638581,0.8205128205128205,0.718204488778055
animal painting,0.592948717948718,0.6678700361010831,0.6281833616298812
self-portrait,0.235370611183355,0.6510791366906474,0.3457497612225406
genre painting,0.7223994894703255,0.46603540551667355,0.5665665665665666
symbolic painting,0.3786707882534776,0.5201698513800425,0.4382826475849732
abstract,0.8509803921568627,0.8308870453095086,0.8408136906683887
figurative,0.3282442748091603,0.34959349593495936,0.33858267716535434
landscape,0.8501755754974639,0.7912127814088599,0.8196351325935678
portrait,0.9212513484358145,0.5491961414790997,0.6881547139403708
flower painting,0.7896678966789668,0.781021897810219,0.7853211009174311
design,0.47269890795631825,0.7354368932038835,0.5754985754985755
religious painting,0.6649096385542169,0.6844961240310078,0.6745607333842628
mythological painting,0.3367521367521368,0.5760233918128655,0.42502696871628914
sketch and study,0.49912280701754386,0.699017199017199,0.5823950870010236
still life,0.7393822393822393,0.7408123791102514,0.7400966183574879
illustration,0.47641509433962265,0.713276836158192,0.5712669683257918
cityscape,0.6840148698884758,0.7739221871713985,0.726196349284657
