,nude painting (nu),marina,animal painting,self-portrait,genre painting,symbolic painting,abstract,figurative,landscape,portrait,flower painting,design,religious painting,mythological painting,sketch and study,still life,illustration,cityscape
nude painting (nu),369,0,2,2,9,3,4,4,4,2,0,4,5,10,12,0,4,0
marina,0,277,1,0,8,6,1,1,33,0,0,0,1,1,7,0,0,15
animal painting,3,3,197,1,7,7,10,2,5,0,4,1,4,4,8,11,9,1
self-portrait,8,0,3,206,6,2,1,5,0,33,0,2,2,0,7,1,2,0
genre painting,131,20,51,40,1275,46,12,43,100,169,6,25,167,50,117,18,94,65
symbolic painting,18,3,27,9,13,237,16,27,13,4,3,10,30,23,13,8,8,9
abstract,20,9,21,0,4,21,1325,67,15,0,16,4,0,1,30,26,4,4
figurative,30,1,20,12,15,32,90,185,5,7,7,10,5,4,26,23,14,6
landscape,8,105,25,2,57,36,22,8,2018,1,33,12,9,6,94,16,16,286
portrait,72,0,12,680,159,21,12,41,0,1874,8,19,88,18,77,10,17,2
flower painting,0,0,7,0,1,2,6,0,1,0,243,0,0,0,2,10,2,0
design,4,0,6,2,4,11,10,12,8,5,5,254,10,9,26,3,23,20
religious painting,29,1,9,12,42,27,5,10,8,49,0,5,961,50,59,0,18,5
mythological painting,39,2,5,2,17,12,0,5,8,8,2,6,76,139,9,0,11,1
sketch and study,58,5,19,34,18,4,9,7,15,31,5,12,21,1,542,7,18,8
still life,8,1,18,3,1,14,14,8,0,4,55,0,5,1,3,375,2,5
illustration,10,0,18,4,35,13,6,10,5,10,1,27,42,9,43,1,468,6
cityscape,1,23,4,0,30,7,6,7,60,1,1,8,4,0,20,3,10,766
