,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,76,7,0,0,4,0,1,2,0,0,0,1,1,0,0,0,2,0,3,4,2,2,0,0,0,1,2,2,0,1,3,2
art nouveau (modern),9,533,5,16,7,0,1,1,7,9,1,30,2,3,0,1,21,6,5,9,1,42,10,1,29,30,22,9,6,4,5,8
baroque,0,5,577,1,1,0,0,0,15,5,0,0,0,18,66,0,0,0,25,0,0,1,23,0,3,18,14,0,66,0,0,2
expressionism,14,86,14,359,53,36,6,51,3,5,1,40,34,2,2,7,274,28,12,21,9,185,7,1,57,54,13,3,10,21,34,18
contemporary realism,3,4,1,6,82,3,2,0,0,1,1,2,1,0,1,0,6,1,3,6,0,5,3,0,3,14,10,0,0,1,2,7
neo-expressionism,0,6,0,11,4,65,0,1,0,0,1,4,11,0,0,5,19,10,1,16,4,4,0,1,3,1,0,0,1,3,0,0
magic realism,4,11,0,6,14,2,94,2,3,2,0,9,1,0,0,0,5,0,7,11,0,11,1,0,0,0,6,1,1,2,7,6
cubism,9,6,0,5,1,0,1,168,0,0,0,1,1,0,0,0,29,3,0,8,27,16,0,1,1,0,0,0,1,1,4,3
northern renaissance,0,11,13,2,0,0,0,0,305,19,0,4,0,28,1,0,0,0,9,0,0,1,3,0,0,2,4,2,32,0,0,4
early renaissance,0,1,3,0,0,0,0,0,8,149,0,1,0,39,2,0,0,1,0,0,0,1,0,0,0,0,5,0,9,0,0,0
minimalism,0,0,0,0,0,1,0,0,0,0,140,0,3,0,0,0,0,5,0,1,1,0,0,35,1,0,0,0,0,0,0,0
symbolism,3,56,23,14,9,2,1,1,2,8,0,290,3,4,6,1,15,1,6,1,0,30,20,0,32,47,34,0,13,2,8,6
art informel,0,1,0,7,0,11,0,2,1,1,10,1,133,0,0,9,8,29,0,6,7,0,0,7,2,1,0,0,0,0,2,1
high renaissance,0,0,13,0,0,0,0,0,13,26,0,0,0,141,1,0,0,0,1,0,0,0,0,0,0,2,3,0,22,1,0,1
rococo,0,0,46,0,0,0,0,0,0,1,0,0,0,1,295,1,0,0,57,0,0,1,20,0,1,4,7,0,2,0,0,1
lyrical abstraction,0,1,0,2,1,0,0,0,0,0,4,1,15,0,0,58,3,13,0,1,3,0,0,13,1,0,0,0,0,2,0,0
fauvism,0,1,0,2,0,0,0,2,0,0,0,0,2,0,0,0,84,1,0,1,1,15,0,0,1,0,0,0,0,1,2,0
abstract expressionism,2,2,0,5,1,14,3,8,0,3,16,3,129,0,0,25,13,225,0,21,21,3,0,42,6,0,0,1,0,0,4,3
neoclassicism,2,7,26,1,1,0,0,0,2,4,0,3,0,7,44,0,1,0,308,0,0,1,21,0,1,6,47,0,7,0,1,0
pop art,3,12,0,1,7,6,1,0,0,1,5,1,5,0,0,0,10,7,0,144,6,0,0,6,0,1,2,1,0,1,0,3
abstract art,2,1,0,2,1,7,0,10,0,0,17,2,28,0,0,7,6,18,2,10,129,2,0,19,0,1,0,0,0,0,0,2
post-impressionism,4,43,4,46,4,1,5,15,1,7,0,15,0,0,1,0,138,2,7,1,0,532,6,0,167,66,7,0,1,6,0,4
romanticism,1,54,90,10,8,2,4,2,20,8,0,16,1,13,120,1,4,1,83,0,0,17,672,0,81,182,166,0,23,1,3,12
color field painting,0,0,0,0,3,0,1,0,0,0,17,0,1,0,0,3,1,7,0,0,3,0,0,175,0,0,0,0,0,0,0,0
impressionism,0,42,14,17,15,0,0,1,1,2,0,17,2,1,8,1,37,2,5,1,0,322,49,0,1469,241,50,0,1,1,0,8
realism,2,83,103,24,38,2,4,3,6,5,0,27,1,3,32,0,8,0,46,1,0,120,154,0,202,961,154,2,16,4,2,17
academicism,0,3,13,0,0,0,0,0,0,3,0,1,0,1,6,0,0,0,7,0,0,0,8,0,4,8,109,0,3,0,1,1
ukiyo-e,1,7,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,191,0,1,2,0
mannerism (late renaissance),0,1,19,0,0,0,0,0,9,7,0,2,0,19,6,0,0,0,3,0,0,0,2,0,0,1,7,0,187,0,0,1
naïve art (primitivism),1,21,4,20,4,3,6,6,3,1,0,6,4,0,1,3,41,5,4,17,1,44,3,0,7,7,2,1,4,243,11,12
surrealism,8,30,7,20,24,21,16,41,4,10,3,29,26,2,1,8,34,23,4,41,23,7,12,5,4,10,12,4,2,34,323,16
neo-romanticism,1,10,1,0,1,0,0,0,0,0,0,4,1,0,0,0,1,0,2,0,0,4,5,0,5,3,2,0,0,0,0,59
