,precisions,recalls,f1
nude painting (nu),0.4566831683168317,0.8502304147465438,0.5942028985507246
marina,0.6155555555555555,0.7891737891737892,0.6916354556803995
animal painting,0.44269662921348313,0.7111913357400722,0.5457063711911357
self-portrait,0.20416253716551042,0.7410071942446043,0.3201243201243201
genre painting,0.7495590828924162,0.5249073692877727,0.6174334140435834
symbolic painting,0.47305389221556887,0.5031847133757962,0.4876543209876544
abstract,0.855390574564235,0.845564773452457,0.8504492939666238
figurative,0.41855203619909503,0.37601626016260165,0.39614561027837264
landscape,0.8781549173194082,0.7327523602033406,0.79889152810768
portrait,0.8525932666060054,0.602572347266881,0.706103993971364
flower painting,0.6246786632390745,0.8868613138686131,0.7330316742081449
design,0.6365914786967418,0.616504854368932,0.6263871763255239
religious painting,0.672027972027972,0.7449612403100775,0.7066176470588236
mythological painting,0.4263803680981595,0.4064327485380117,0.41616766467065863
sketch and study,0.4949771689497717,0.6658476658476659,0.5678365636458879
still life,0.732421875,0.7253384912959381,0.7288629737609329
illustration,0.65,0.6610169491525424,0.6554621848739496
cityscape,0.6388657214345288,0.8054679284963197,0.7125581395348837
