,precisions,recalls,f1
art deco,0.5241379310344828,0.6551724137931034,0.5823754789272032
art nouveau (modern),0.5100478468899522,0.6398559423769508,0.5676251331203408
baroque,0.5911885245901639,0.6869047619047619,0.6354625550660793
expressionism,0.6211072664359861,0.2458904109589041,0.352306182531894
contemporary realism,0.28975265017667845,0.4880952380952381,0.3636363636363636
neo-expressionism,0.3693181818181818,0.38011695906432746,0.37463976945244953
magic realism,0.6394557823129252,0.4563106796116505,0.5325779036827196
cubism,0.5299684542586751,0.5874125874125874,0.5572139303482587
northern renaissance,0.7568238213399504,0.6931818181818182,0.7236061684460261
early renaissance,0.5379061371841155,0.680365296803653,0.6008064516129032
minimalism,0.6481481481481481,0.7486631016042781,0.694789081885856
symbolism,0.5686274509803921,0.45454545454545453,0.5052264808362369
art informel,0.3275862068965517,0.5564853556485355,0.41240310077519376
high renaissance,0.5,0.6294642857142857,0.5573122529644269
rococo,0.4974704890387858,0.6750572082379863,0.5728155339805825
lyrical abstraction,0.4461538461538462,0.4915254237288136,0.46774193548387105
fauvism,0.11023622047244094,0.7433628318584071,0.19199999999999998
abstract expressionism,0.5798969072164949,0.4090909090909091,0.4797441364605544
neoclassicism,0.5124792013311148,0.6285714285714286,0.5646196150320807
pop art,0.4472049689440994,0.6457399103139013,0.5284403669724771
abstract art,0.5397489539748954,0.4849624060150376,0.5108910891089109
post-impressionism,0.38945827232796487,0.49122807017543857,0.43446304614128217
romanticism,0.6594700686947988,0.4213166144200627,0.5141545524100994
color field painting,0.5718954248366013,0.8293838862559242,0.6769825918762089
impressionism,0.70625,0.6367576939748592,0.6697059493959426
realism,0.5785671282360024,0.4757425742574257,0.5221407226297201
academicism,0.1607669616519174,0.6488095238095238,0.2576832151300236
ukiyo-e,0.880184331797235,0.9052132701421801,0.8925233644859812
mannerism (late renaissance),0.4594594594594595,0.7083333333333334,0.5573770491803279
naïve art (primitivism),0.7363636363636363,0.5010309278350515,0.596319018404908
surrealism,0.7801932367149759,0.4017412935323383,0.5303776683087028
neo-romanticism,0.29949238578680204,0.5959595959595959,0.39864864864864863
