,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,78,1,0,2,2,0,9,2,1,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,1,1,2,0,3,5,0
art nouveau (modern),13,471,4,44,8,1,5,3,3,6,1,64,5,11,0,3,5,4,7,24,1,7,22,1,8,14,12,9,3,55,15,4
baroque,0,3,542,1,3,0,1,0,26,5,0,0,0,58,43,0,0,0,22,0,0,0,25,0,0,6,16,0,81,6,2,0
expressionism,3,35,6,569,32,36,24,48,6,2,2,44,32,16,0,28,115,41,6,47,18,52,15,0,12,24,6,1,3,176,57,4
contemporary realism,2,2,1,13,83,1,13,0,0,0,0,2,4,1,0,1,2,0,0,8,0,0,4,0,1,6,8,0,1,7,3,5
neo-expressionism,0,2,0,13,0,60,1,1,0,0,1,2,12,0,0,12,7,20,0,18,4,0,1,0,0,1,0,0,0,8,8,0
magic realism,2,4,1,13,5,4,120,0,0,3,0,2,1,0,0,0,2,2,1,6,0,1,0,0,1,0,1,2,0,21,13,1
cubism,0,2,0,18,0,0,1,161,0,1,0,2,6,1,0,2,10,5,0,8,39,7,0,0,0,0,0,1,0,12,10,0
northern renaissance,0,4,9,3,0,0,1,0,262,26,0,5,0,77,2,0,0,0,2,0,0,1,7,0,0,2,4,2,26,3,2,2
early renaissance,0,1,2,0,1,0,0,0,6,163,0,2,0,32,0,1,0,0,0,0,0,0,0,0,0,1,1,1,5,1,2,0
minimalism,0,0,0,0,0,1,0,0,0,0,160,0,8,0,0,0,0,5,0,1,3,0,0,9,0,0,0,0,0,0,0,0
symbolism,4,35,12,38,4,0,12,4,9,4,0,337,4,5,2,1,4,2,2,1,0,9,20,0,10,33,12,1,10,31,31,1
art informel,0,0,0,5,1,2,0,1,0,1,11,1,106,0,0,42,2,43,0,7,8,0,0,1,0,0,0,0,0,5,3,0
high renaissance,0,0,1,0,1,0,0,0,2,28,0,1,0,163,0,0,0,0,1,1,0,0,0,0,0,1,5,0,18,2,0,0
rococo,0,0,51,1,0,0,1,0,5,1,0,2,0,12,261,0,0,0,42,1,0,0,36,0,0,1,11,0,8,3,1,0
lyrical abstraction,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,90,0,9,0,2,3,0,0,3,0,0,0,0,0,3,0,0
fauvism,0,2,0,8,0,0,2,2,0,0,0,0,1,0,0,1,62,3,0,6,3,9,0,0,1,0,0,0,0,12,1,0
abstract expressionism,0,0,0,11,0,6,3,1,0,0,17,4,77,0,0,91,1,270,0,19,21,0,0,14,1,0,0,0,0,5,9,0
neoclassicism,2,6,27,4,2,0,5,1,5,3,0,3,1,15,36,0,0,0,285,0,0,1,26,0,2,5,47,0,5,4,5,0
pop art,1,1,0,3,4,3,2,0,0,1,3,1,4,0,0,6,1,8,0,160,10,0,0,1,0,0,1,0,0,7,6,0
abstract art,0,3,0,3,0,0,1,12,0,0,11,1,20,0,0,22,3,25,0,9,143,0,0,7,0,0,0,1,0,4,1,0
post-impressionism,3,55,7,149,3,5,15,8,3,6,0,45,5,9,0,3,86,2,1,8,2,368,10,0,110,45,2,0,2,124,5,2
romanticism,3,42,97,20,6,0,12,0,32,11,0,51,1,33,66,0,1,2,45,2,0,6,847,0,39,64,132,2,28,41,8,4
color field painting,0,0,0,0,0,0,0,0,0,0,30,0,6,0,0,12,0,11,0,2,3,0,0,146,0,0,0,0,0,1,0,0
impressionism,0,47,15,119,18,2,13,2,12,1,0,136,8,7,2,5,32,5,1,2,0,235,133,0,1230,159,38,1,3,77,4,0
realism,2,60,101,93,35,0,28,1,37,7,0,68,7,28,19,0,5,2,20,5,0,72,330,0,139,689,154,1,20,73,17,7
academicism,0,3,9,0,1,0,2,0,2,3,0,6,0,6,3,0,0,1,5,0,0,0,12,0,2,5,102,0,4,1,1,0
ukiyo-e,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,199,0,3,1,0
mannerism (late renaissance),0,0,3,0,0,0,0,0,5,10,0,3,0,48,1,0,0,0,4,0,0,0,4,0,0,1,3,0,179,3,0,0
naïve art (primitivism),2,8,1,23,1,1,11,4,3,0,0,2,2,1,1,4,4,6,0,21,4,3,1,0,1,1,0,3,0,363,13,1
surrealism,1,16,2,34,6,10,26,23,8,5,3,17,20,4,0,13,6,24,2,52,28,2,8,0,1,1,2,0,1,60,426,3
neo-romanticism,1,9,1,4,0,0,2,0,2,1,0,3,0,0,0,0,0,0,0,2,0,1,6,0,5,1,0,1,1,3,1,55
