,precisions,recalls,f1
art deco,0.6666666666666666,0.6724137931034483,0.6695278969957081
art nouveau (modern),0.5793357933579336,0.5654261704681873,0.5722964763061968
baroque,0.6076233183856502,0.6452380952380953,0.625866050808314
expressionism,0.4765494137353434,0.38972602739726026,0.4287867370007535
contemporary realism,0.38425925925925924,0.49404761904761907,0.43229166666666663
neo-expressionism,0.45454545454545453,0.3508771929824561,0.396039603960396
magic realism,0.3870967741935484,0.5825242718446602,0.46511627906976744
cubism,0.5875912408759124,0.5629370629370629,0.5750000000000001
northern renaissance,0.6107226107226107,0.5954545454545455,0.6029919447640967
early renaissance,0.5659722222222222,0.7442922374429224,0.6429980276134122
minimalism,0.6639004149377593,0.8556149732620321,0.7476635514018691
symbolism,0.4186335403726708,0.5282131661442007,0.4670824670824671
art informel,0.31547619047619047,0.4435146443514644,0.36869565217391304
high renaissance,0.3092979127134725,0.7276785714285714,0.43408788282290284
rococo,0.5986238532110092,0.597254004576659,0.5979381443298969
lyrical abstraction,0.26706231454005935,0.7627118644067796,0.39560439560439564
fauvism,0.17765042979942694,0.5486725663716814,0.2683982683982684
abstract expressionism,0.5510204081632653,0.4909090909090909,0.5192307692307692
neoclassicism,0.6390134529147982,0.5816326530612245,0.608974358974359
pop art,0.3818615751789976,0.7174887892376681,0.49844236760124605
abstract art,0.4897260273972603,0.5375939849624061,0.5125448028673835
post-impressionism,0.4742268041237113,0.3397968605724838,0.39591178052716514
romanticism,0.5620437956204379,0.5310344827586206,0.5460992907801417
color field painting,0.8021978021978022,0.6919431279620853,0.7430025445292621
impressionism,0.7869481765834933,0.5331599479843954,0.6356589147286821
realism,0.649387370405278,0.3410891089108911,0.4472573839662448
academicism,0.1827956989247312,0.6071428571428571,0.28099173553719015
ukiyo-e,0.8766519823788547,0.943127962085308,0.908675799086758
mannerism (late renaissance),0.44974874371859297,0.678030303030303,0.5407854984894259
naïve art (primitivism),0.3249776186213071,0.7484536082474227,0.45318352059925093
surrealism,0.6553846153846153,0.5298507462686567,0.5859697386519945
neo-romanticism,0.6179775280898876,0.5555555555555556,0.5851063829787234
