index_name,nude painting (nu),marina,animal painting,self-portrait,genre painting,symbolic painting,abstract,figurative,landscape,portrait,flower painting,design,religious painting,mythological painting,sketch and study,still life,illustration,cityscape
nude painting (nu),268,0,2,0,33,9,8,6,4,29,0,3,19,16,21,3,13,0
marina,0,267,0,0,8,3,3,0,48,0,1,0,0,0,3,2,1,15
animal painting,2,1,164,0,25,11,11,3,6,6,4,6,4,6,12,11,5,0
self-portrait,1,0,1,39,12,2,2,2,1,200,0,2,4,0,11,0,1,0
genre painting,33,18,32,0,1427,30,28,17,104,281,3,27,237,25,50,13,65,39
symbolic painting,5,6,23,1,45,177,29,18,30,27,3,10,40,7,8,19,11,12
abstract,2,7,6,0,11,21,1343,40,56,4,15,8,4,1,22,20,6,1
figurative,10,3,11,0,42,25,143,107,19,39,7,18,9,1,23,17,14,4
landscape,5,100,26,1,106,28,31,6,2247,4,7,3,15,2,28,13,10,122
portrait,20,0,4,28,162,18,24,16,2,2635,3,12,107,4,50,11,14,0
flower painting,0,0,1,0,3,4,9,1,21,0,212,2,1,0,0,18,1,1
design,1,0,0,0,14,7,19,8,15,11,3,236,13,4,21,6,40,14
religious painting,19,0,4,1,59,20,11,5,21,70,0,4,972,37,39,6,20,2
mythological painting,15,1,5,0,30,11,2,1,13,25,0,5,112,102,7,2,11,0
sketch and study,22,4,17,0,44,5,16,2,50,63,2,6,25,3,523,9,11,12
still life,2,0,4,0,19,8,31,6,11,7,30,6,4,1,6,379,1,2
illustration,1,1,11,0,69,22,13,5,16,25,0,26,71,5,27,0,409,7
cityscape,0,26,1,0,44,6,15,2,157,1,0,10,5,0,5,4,8,667
