,nude painting (nu),marina,animal painting,self-portrait,genre painting,symbolic painting,abstract,figurative,landscape,portrait,flower painting,design,religious painting,mythological painting,sketch and study,still life,illustration,cityscape
nude painting (nu),246,0,4,0,53,5,11,5,9,35,1,2,12,19,20,7,3,2
marina,0,254,0,0,9,2,4,0,66,0,0,0,0,0,1,1,0,14
animal painting,3,2,153,0,26,5,16,4,14,8,3,4,4,4,11,11,9,0
self-portrait,1,0,0,26,8,1,3,6,2,221,0,1,2,0,6,0,1,0
genre painting,25,18,48,0,1540,28,28,28,128,262,10,17,106,20,49,14,58,50
symbolic painting,8,4,23,0,51,152,33,25,38,31,4,25,32,5,4,13,12,11
abstract,2,10,12,0,5,11,1373,40,36,4,17,5,0,1,13,29,6,3
figurative,10,1,16,0,42,27,150,114,18,42,14,5,1,0,24,16,6,6
landscape,2,75,10,0,63,14,50,6,2299,4,36,2,8,1,26,11,12,135
portrait,16,0,5,25,216,20,28,14,3,2664,3,10,55,5,25,7,14,0
flower painting,0,0,4,0,1,1,12,0,5,0,234,2,0,0,0,13,2,0
design,3,0,4,0,15,9,21,9,15,21,8,223,5,0,20,3,39,17
religious painting,17,1,9,0,113,13,16,11,20,90,0,6,878,38,29,2,42,5
mythological painting,11,1,7,0,52,11,0,1,14,27,1,7,97,93,6,2,12,0
sketch and study,34,6,21,1,56,4,17,5,51,92,7,10,16,3,442,9,20,20
still life,2,0,8,0,8,6,23,15,10,15,46,5,3,0,4,367,1,4
illustration,2,0,10,1,98,11,20,10,7,26,2,20,27,2,40,1,424,7
cityscape,0,16,1,0,44,4,18,4,170,2,0,8,0,0,5,2,4,673
