,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,73,4,1,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,6,0,4,1,0,1,2,0,0,0,3,9,0
art nouveau (modern),13,416,1,75,0,2,2,1,5,2,0,30,1,2,0,2,1,6,1,5,2,22,52,0,45,83,0,10,0,22,30,2
baroque,0,3,530,4,0,0,0,0,13,3,0,3,0,20,44,0,0,0,21,1,0,0,95,0,6,46,0,0,44,2,5,0
expressionism,5,22,2,835,3,19,2,12,2,0,1,23,7,1,1,9,5,36,2,4,5,111,23,0,97,107,0,0,1,48,72,5
contemporary realism,4,4,1,26,12,1,4,1,0,1,1,2,0,0,0,1,0,2,6,2,1,2,13,0,14,57,0,0,0,4,9,0
neo-expressionism,0,1,0,47,0,35,2,2,0,0,0,3,1,0,0,8,0,29,1,11,2,2,1,0,5,4,0,1,0,5,11,0
magic realism,6,8,2,21,1,1,71,2,1,1,0,3,1,0,0,0,0,1,7,1,0,8,13,0,5,13,0,0,0,22,17,1
cubism,1,1,0,54,0,0,2,150,1,0,0,0,2,0,0,0,0,3,0,2,11,20,1,0,2,0,0,0,0,9,25,2
northern renaissance,1,3,26,2,0,0,0,0,288,7,0,6,0,31,0,0,0,0,12,0,0,1,19,0,1,15,0,0,18,4,4,2
early renaissance,1,3,3,0,0,0,0,0,21,122,0,6,0,34,0,0,0,1,2,0,0,1,7,0,0,5,0,1,6,2,3,1
minimalism,0,0,0,2,0,1,0,0,0,0,147,0,1,0,0,0,0,8,0,1,3,0,0,21,0,0,0,0,0,0,3,0
symbolism,3,36,2,53,0,0,2,2,3,2,0,262,1,1,3,1,0,0,3,0,0,13,57,0,47,101,1,0,2,6,34,3
art informel,0,1,0,30,0,7,0,0,0,0,10,0,50,0,0,25,1,73,0,4,17,1,0,2,2,4,0,1,0,0,11,0
high renaissance,0,1,17,2,0,0,0,0,16,17,0,1,0,124,0,0,0,0,4,0,0,1,10,0,0,5,0,0,23,2,1,0
rococo,0,0,50,0,0,0,0,0,4,1,0,1,0,1,228,0,0,0,51,0,0,0,82,0,0,15,0,0,2,1,1,0
lyrical abstraction,0,2,0,7,1,0,0,2,0,0,1,0,2,0,0,51,0,31,0,2,2,0,1,6,4,1,0,0,0,1,4,0
fauvism,0,6,0,47,0,1,0,2,0,0,0,1,0,0,0,0,11,2,0,1,0,25,0,0,10,0,0,0,0,5,2,0
abstract expressionism,0,3,0,49,0,2,1,1,0,0,15,8,35,0,0,37,0,296,0,10,25,2,1,19,11,4,0,0,0,5,26,0
neoclassicism,2,4,36,7,0,0,0,0,1,1,0,3,0,2,31,0,0,0,296,0,0,1,78,0,2,17,3,0,1,2,3,0
pop art,4,5,0,28,0,4,3,1,0,0,7,1,2,0,0,1,0,16,1,107,10,0,2,1,1,1,0,0,0,16,12,0
abstract art,2,1,0,26,0,1,1,24,0,0,12,2,6,0,0,7,2,32,0,7,107,0,0,12,2,1,0,0,0,4,17,0
post-impressionism,1,26,1,149,1,0,1,1,2,0,0,16,1,1,0,0,4,4,5,0,0,384,13,0,350,102,0,0,1,17,2,1
romanticism,1,28,56,22,0,1,0,0,8,5,0,20,0,2,43,2,0,2,56,0,0,1,993,0,88,243,6,0,5,7,6,0
color field painting,0,0,0,1,0,0,0,0,0,0,30,0,1,0,0,3,0,17,0,2,7,0,0,142,1,3,0,0,0,2,2,0
impressionism,0,17,5,45,1,0,0,0,0,0,0,19,2,0,3,2,0,3,3,1,0,101,62,0,1766,272,1,1,0,2,1,0
realism,2,13,37,51,3,0,1,2,5,1,0,11,1,0,7,0,0,1,29,1,0,49,276,0,301,1203,4,0,8,7,7,0
academicism,0,0,9,0,0,0,0,0,0,0,0,3,0,0,4,0,0,1,27,0,0,0,56,0,7,35,23,0,2,0,1,0
ukiyo-e,1,10,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,0,3,0,173,0,4,7,0
mannerism (late renaissance),0,1,39,0,0,0,0,0,17,9,0,2,0,37,5,0,0,0,8,0,0,0,19,0,1,6,0,0,120,0,0,0
naïve art (primitivism),1,12,7,57,0,8,4,4,2,0,0,2,0,2,1,2,1,4,3,7,1,18,3,0,10,22,0,0,0,291,21,2
surrealism,4,9,4,90,2,4,9,23,5,2,0,16,3,4,1,0,0,19,7,16,17,3,27,1,5,25,1,2,2,54,448,1
neo-romanticism,0,12,0,6,0,0,0,0,3,0,0,5,0,0,0,0,0,0,2,0,0,6,12,0,7,20,1,0,2,2,1,20
