,precisions,recalls
nude painting (nu),0.6094069529652352,0.6866359447004609
marina,0.6827956989247311,0.7236467236467237
animal painting,0.6880733944954128,0.5415162454873647
self-portrait,0.5,0.09352517985611511
genre painting,0.6249488752556237,0.6290654590366406
symbolic painting,0.3807829181494662,0.4543524416135881
abstract,0.7655476059438635,0.8876834716017868
figurative,0.3981042654028436,0.17073170731707318
landscape,0.8227305218012866,0.8358750907770516
portrait,0.7610921501706485,0.8604501607717042
flower painting,0.8093385214007782,0.7591240875912408
design,0.6835820895522388,0.5558252427184466
religious painting,0.6625086625086625,0.7410852713178294
mythological painting,0.5714285714285714,0.24561403508771928
sketch and study,0.6205583756345178,0.6007371007371007
still life,0.763671875,0.7562862669245648
illustration,0.6768488745980707,0.594632768361582
cityscape,0.7485907553551296,0.6982124079915878
