,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,63,6,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,0,4,0,0,1,2,1,0,0,5,15,0
art nouveau (modern),2,502,3,52,2,4,0,0,5,1,0,38,0,0,0,0,2,8,3,3,1,42,37,0,29,54,0,8,2,13,19,3
baroque,0,4,582,5,0,0,0,1,27,5,0,2,0,8,24,0,0,0,7,0,0,2,56,0,1,59,1,0,52,1,3,0
expressionism,2,39,2,850,12,16,1,11,4,0,0,35,11,1,0,3,16,36,3,7,1,127,16,1,59,74,1,2,0,49,79,2
contemporary realism,3,2,1,21,41,7,1,1,1,0,1,7,0,0,0,0,0,3,2,2,0,4,15,0,9,31,1,0,0,5,9,1
neo-expressionism,0,4,0,41,3,44,0,2,1,0,0,3,3,0,0,2,1,33,0,8,2,3,1,0,2,1,0,0,0,6,11,0
magic realism,2,13,3,22,8,0,65,2,3,1,0,4,0,0,0,0,0,1,0,6,1,11,7,0,4,7,2,0,0,23,20,1
cubism,0,2,0,57,0,1,0,164,0,0,0,3,2,0,0,0,0,2,0,1,7,13,0,1,0,1,0,0,0,8,24,0
northern renaissance,0,7,22,5,1,1,0,0,328,4,0,6,0,10,0,0,0,0,3,0,0,1,14,0,1,10,0,0,18,3,5,1
early renaissance,0,2,7,5,0,0,0,0,28,127,0,4,0,26,0,0,0,0,0,0,0,1,4,0,0,7,0,1,6,0,0,1
minimalism,0,0,0,1,0,0,0,0,0,0,132,0,2,0,0,0,0,7,0,1,5,0,0,38,1,0,0,0,0,0,0,0
symbolism,1,44,9,63,1,0,1,2,14,2,0,270,0,0,1,2,0,2,0,0,0,17,59,2,43,62,0,0,4,10,28,1
art informel,0,3,0,28,0,8,0,3,0,0,8,1,54,0,0,6,4,90,1,4,8,1,0,4,1,2,0,0,0,2,11,0
high renaissance,0,4,22,3,0,0,0,0,43,15,0,1,1,94,0,0,0,1,0,0,0,0,6,0,0,6,1,0,26,1,0,0
rococo,0,1,137,2,0,0,0,0,3,1,0,2,0,1,169,0,0,0,7,0,0,0,83,0,0,23,0,0,5,1,2,0
lyrical abstraction,0,3,0,5,1,1,0,2,0,0,2,2,5,0,0,30,1,47,0,0,1,1,0,13,0,0,0,0,0,0,4,0
fauvism,0,1,0,47,0,2,0,1,0,0,0,1,0,0,0,0,21,3,0,1,1,20,0,0,7,0,0,0,0,7,1,0
abstract expressionism,0,3,0,51,3,11,0,3,1,0,11,7,44,0,0,9,4,315,0,11,24,1,0,23,1,0,0,1,0,7,20,0
neoclassicism,2,6,59,8,0,0,0,0,9,1,0,4,0,5,34,0,0,0,234,0,0,4,84,0,1,23,8,0,6,1,1,0
pop art,0,9,0,25,1,9,1,4,1,0,4,1,2,1,0,4,2,11,1,108,4,2,1,2,0,0,0,0,0,16,14,0
abstract art,0,2,0,23,0,1,2,29,0,0,8,1,13,0,0,2,3,38,0,8,94,0,1,18,2,1,0,0,0,4,16,0
post-impressionism,2,31,2,163,4,0,0,1,4,0,0,19,3,0,0,0,5,5,0,0,0,455,18,0,279,69,0,0,0,17,3,3
romanticism,0,34,85,25,1,3,0,0,24,2,0,27,1,3,31,0,0,2,11,0,0,5,1014,0,57,233,8,2,13,7,7,0
color field painting,0,0,0,1,2,0,0,1,0,0,14,0,1,0,0,1,0,17,0,1,7,0,0,165,0,0,0,0,0,1,0,0
impressionism,0,19,8,61,4,1,0,0,1,0,1,29,1,0,2,3,3,4,1,0,0,151,91,0,1677,239,2,0,1,6,2,0
realism,2,31,57,66,9,1,0,1,7,0,0,21,3,1,6,2,0,0,9,0,0,68,259,0,291,1152,8,0,5,9,10,2
academicism,1,3,20,0,1,0,0,0,2,2,0,3,0,1,3,0,0,0,6,0,0,0,63,0,3,42,13,0,2,0,2,1
ukiyo-e,0,13,0,2,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,2,1,1,0,0,0,0,0,179,0,2,6,0
mannerism (late renaissance),0,0,51,2,0,0,0,0,21,6,0,3,0,25,2,0,0,0,0,0,0,0,9,0,0,14,0,0,129,1,1,0
naïve art (primitivism),2,23,2,59,2,6,2,3,5,1,0,5,0,0,2,1,1,5,1,7,1,22,7,1,7,9,0,1,0,282,26,2
surrealism,3,21,2,88,11,4,2,21,9,3,0,19,5,1,1,3,0,17,5,15,12,3,28,3,3,11,1,1,1,49,462,0
neo-romanticism,0,16,1,7,1,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,4,13,0,7,7,0,0,1,0,2,34
