,precisions,recalls
nude painting (nu),0.5840163934426229,0.6566820276497696
marina,0.7253086419753086,0.6695156695156695
animal painting,0.5409836065573771,0.5956678700361011
self-portrait,0.49122807017543857,0.10071942446043165
genre painting,0.6501251042535446,0.6418279127212845
symbolic painting,0.42358078602620086,0.4118895966029724
abstract,0.7851851851851852,0.8793873643905552
figurative,0.38095238095238093,0.24390243902439024
landscape,0.8201566951566952,0.836238198983297
portrait,0.7539572341016384,0.8729903536977492
flower painting,0.6796116504854369,0.7664233576642335
design,0.5839080459770115,0.616504854368932
religious painting,0.7241379310344828,0.6837209302325581
mythological painting,0.44954128440366975,0.28654970760233917
sketch and study,0.6637168141592921,0.5528255528255528
still life,0.7840172786177105,0.7021276595744681
illustration,0.6565349544072948,0.6101694915254238
cityscape,0.7049847405900305,0.7287066246056783
