index_name,art deco,art nouveau (modern),baroque,expressionism,contemporary realism,neo-expressionism,magic realism,cubism,northern renaissance,early renaissance,minimalism,symbolism,art informel,high renaissance,rococo,lyrical abstraction,fauvism,abstract expressionism,neoclassicism,pop art,abstract art,post-impressionism,romanticism,color field painting,impressionism,realism,academicism,ukiyo-e,mannerism (late renaissance),naïve art (primitivism),surrealism,neo-romanticism
art deco,58,13,1,8,1,0,0,2,3,0,0,2,0,0,1,0,0,1,1,8,0,3,1,0,1,2,0,2,0,3,5,0
art nouveau (modern),1,502,4,47,2,2,2,0,3,2,0,39,1,0,2,1,1,8,1,3,2,30,27,0,35,69,1,7,1,23,11,6
baroque,0,3,619,1,0,0,0,0,13,4,0,3,0,8,53,0,0,0,6,0,0,0,74,0,2,33,1,0,17,1,1,1
expressionism,1,56,3,783,18,26,0,11,5,1,0,37,22,1,0,11,18,24,0,9,4,134,17,2,72,94,0,1,1,56,44,9
contemporary realism,1,4,2,16,54,1,2,0,1,0,1,2,0,0,1,0,0,4,2,3,0,2,12,0,14,30,1,0,0,5,9,1
neo-expressionism,0,9,0,43,2,40,0,2,1,0,0,2,9,0,0,6,0,21,0,9,4,4,1,1,4,0,0,0,0,7,6,0
magic realism,3,14,4,21,11,2,70,0,1,1,0,3,0,0,0,0,0,2,3,7,1,8,9,0,5,6,0,1,0,19,14,1
cubism,2,1,0,58,1,2,0,147,0,0,0,3,2,0,0,1,0,5,1,3,11,12,0,0,2,1,0,1,0,14,18,1
northern renaissance,0,5,29,6,0,0,0,0,322,10,0,4,0,15,1,0,0,0,3,0,0,1,17,0,0,7,0,0,16,1,3,0
early renaissance,0,2,6,2,0,0,0,0,26,137,1,2,0,25,0,0,0,1,1,0,0,0,2,0,0,5,0,1,5,1,0,2
minimalism,0,0,0,0,1,0,0,0,0,0,141,1,3,0,0,0,0,5,0,1,5,0,0,29,1,0,0,0,0,0,0,0
symbolism,1,34,9,44,4,2,0,3,2,1,0,301,0,1,4,0,0,3,2,1,0,13,52,3,48,72,1,0,3,11,22,1
art informel,0,2,0,24,0,5,1,0,1,1,10,0,74,0,0,9,6,75,0,4,6,1,0,3,3,1,0,1,0,4,8,0
high renaissance,0,3,35,0,0,0,0,0,26,19,0,2,0,112,2,0,0,1,0,0,0,1,6,0,0,1,2,0,12,1,1,0
rococo,0,1,65,1,0,0,0,0,1,0,0,0,0,2,291,0,0,0,8,0,0,0,52,0,0,13,0,0,1,2,0,0
lyrical abstraction,0,3,0,5,1,0,0,1,0,0,2,3,8,0,0,42,1,30,0,1,1,1,0,14,1,2,0,0,0,0,1,1
fauvism,0,4,0,36,0,0,0,0,0,0,0,2,2,0,0,0,29,2,0,3,1,22,0,1,7,0,0,0,0,3,1,0
abstract expressionism,0,6,0,48,2,7,0,4,0,0,13,2,71,0,0,20,1,286,0,14,20,3,0,26,6,3,0,1,0,5,11,1
neoclassicism,0,8,47,5,3,0,0,0,6,0,0,7,0,4,68,0,0,0,232,0,0,2,74,0,3,20,6,0,1,2,1,1
pop art,1,4,0,23,2,9,0,4,0,0,5,2,8,0,0,3,2,12,1,119,2,0,1,1,1,1,0,0,0,14,7,1
abstract art,0,1,0,21,0,1,0,17,0,0,9,2,20,0,0,6,4,29,0,10,103,0,2,20,4,0,0,0,0,6,11,0
post-impressionism,1,37,2,126,9,2,0,0,3,0,0,32,2,2,0,0,10,5,1,1,0,422,13,0,298,90,0,2,0,21,2,2
romanticism,0,40,64,19,1,0,0,0,13,6,0,31,2,1,91,0,0,2,14,0,0,9,966,0,63,253,4,0,3,6,6,1
color field painting,0,0,0,0,2,0,0,1,0,0,25,0,4,0,0,3,0,12,0,0,7,0,0,157,0,0,0,0,0,0,0,0
impressionism,0,16,7,44,6,0,1,0,4,2,0,35,2,1,7,3,3,1,1,1,0,124,78,0,1696,270,0,0,0,4,1,0
realism,1,43,57,34,6,0,1,1,16,0,0,35,3,1,22,2,0,0,10,2,0,54,241,0,290,1167,8,1,2,12,8,3
academicism,0,7,14,0,1,0,0,0,0,1,0,6,0,1,8,0,0,0,6,0,0,0,63,0,4,41,13,0,2,0,1,0
ukiyo-e,0,15,0,2,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,180,0,2,3,0
mannerism (late renaissance),0,1,74,1,0,0,0,0,25,7,0,6,0,20,5,0,0,0,2,0,0,0,11,0,0,9,2,0,100,1,0,0
naïve art (primitivism),0,22,1,53,5,4,3,1,2,1,0,7,5,0,2,1,2,3,0,5,1,22,10,1,7,11,0,1,0,293,17,5
surrealism,2,30,6,79,11,7,1,27,15,2,2,31,13,0,1,3,2,24,5,14,11,5,21,1,7,12,1,1,0,66,401,3
neo-romanticism,0,13,0,1,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,4,10,0,6,7,0,0,0,0,1,47
