,precisions,recalls
art deco,0.8055555555555556,0.5
art nouveau (modern),0.5583982202447163,0.602641056422569
baroque,0.5900857959961868,0.736904761904762
expressionism,0.504835589941973,0.5363013698630137
contemporary realism,0.375,0.32142857142857145
neo-expressionism,0.36363636363636365,0.23391812865497075
magic realism,0.8641975308641975,0.33980582524271846
cubism,0.6621621621621622,0.513986013986014
northern renaissance,0.6558044806517311,0.7318181818181818
early renaissance,0.7025641025641025,0.6255707762557078
minimalism,0.6746411483253588,0.7540106951871658
symbolism,0.49263502454991814,0.4717868338557994
art informel,0.2924901185770751,0.30962343096234307
high renaissance,0.5773195876288659,0.5
rococo,0.5205724508050089,0.665903890160183
lyrical abstraction,0.3783783783783784,0.3559322033898305
fauvism,0.3670886075949367,0.25663716814159293
abstract expressionism,0.5143884892086331,0.52
neoclassicism,0.7733333333333333,0.47346938775510206
pop art,0.5409090909090909,0.5336322869955157
abstract art,0.5722222222222222,0.38721804511278196
post-impressionism,0.4811858608893957,0.3896583564173592
romanticism,0.5488636363636363,0.6056426332288402
color field painting,0.6061776061776062,0.7440758293838863
impressionism,0.6573643410852713,0.7351538794971825
realism,0.5254389914452949,0.5777227722772277
academicism,0.325,0.07738095238095238
ukiyo-e,0.9,0.8530805687203792
mannerism (late renaissance),0.6097560975609756,0.3787878787878788
naïve art (primitivism),0.5025728987993139,0.6041237113402061
surrealism,0.6530944625407166,0.4987562189054726
neo-romanticism,0.5402298850574713,0.47474747474747475
